probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s10008_1V6	53	45	29	36	42	35	-1,12
Pp1s10015_1V6	36	43	44	40	37	52	1,05
Pp1s10083_1V6	55	36	72	30	40	30	-1,63
Pp1s100_101V6	40	40	63	45	44	32	-1,18
Pp1s100_102V6	29	24	35	38	37	35	1,25
Pp1s100_104V6	233	79	199	205	175	167	1,07
Pp1s100_106V6	54	42	26	34	38	47	-1,03
Pp1s100_107V6	30034	26651	28269	27611	27701	30363	1,01
Pp1s100_108V6	6508	7166	6922	6996	6913	7901	1,06
Pp1s100_110V6	7566	7229	7252	8446	7841	7801	1,09
Pp1s100_112V6	2893	3009	3480	3311	3188	3188	1,03
Pp1s100_113V6	42	28	66	31	30	33	-1,45
Pp1s100_116V6	810	857	799	538	667	741	-1,27
Pp1s100_117V6	9139	10868	9817	9886	9610	9401	-1,03
Pp1s100_118V6	1735	1509	1516	1786	1578	1856	1,1
Pp1s100_119V6	26315	23305	25105	23023	24482	21435	-1,08
Pp1s100_120V6	1714	2054	1908	1671	1689	2073	-1,04
Pp1s100_121V6	5615	4898	5103	4612	5009	4898	-1,08
Pp1s100_124V6	4934	4052	4549	4363	4494	4189	-1,04
Pp1s100_125V6	802	1120	1012	1069	1017	924	1,03
Pp1s100_126V6	2225	1913	1842	1680	1474	1693	-1,23
Pp1s100_127V6	1138	1636	956	1051	879	994	-1,28
Pp1s100_130V6	30	34	46	57	37	48	1,29
Pp1s100_132V6	47	43	45	62	70	52	1,36
Pp1s100_133V6	91	37	85	45	67	38	-1,42
Pp1s100_134V6	671	383	652	881	767	740	1,4
Pp1s100_135V6	34	69	52	76	34	61	1,1
Pp1s100_136V6	4671	4347	5252	3915	3840	4613	-1,15
Pp1s100_137V6	57	24	30	36	38	39	1,02
Pp1s100_139V6	423	247	313	254	104	163	-1,89
Pp1s100_141V6	3996	4932	4380	4092	4095	4048	-1,09
Pp1s100_144V6	10761	10595	9844	15217	14599	15757	1,46
Pp1s100_145V6	1950	1817	1991	1741	2045	1829	-1,03
Pp1s100_146V6	2813	2992	3257	2409	2914	2774	-1,12
Pp1s100_147V6	849	967	1361	860	806	1011	-1,19
Pp1s100_149V6	937	924	814	733	658	745	-1,25
Pp1s100_14V6	299	201	309	459	294	385	1,41
Pp1s100_150V6	43	36	36	49	30	49	1,11
Pp1s100_157V6	77	281	93	144	174	128	-1,01
Pp1s100_161V6	71	53	130	128	104	157	1,53
Pp1s100_162V6	3818	4045	2532	3581	4365	5842	1,33
Pp1s100_163V6	76	38	34	45	65	46	1,05
Pp1s100_167V6	81	34	67	64	32	60	-1,17
Pp1s100_17V6	71	35	40	28	60	43	-1,11
Pp1s100_188V6	189	239	360	201	271	419	1,13
Pp1s100_190V6	2246	2483	2745	2791	2497	2474	1,04
Pp1s100_191V6	18536	18495	17258	20243	18962	18987	1,07
Pp1s100_192V6	2598	2065	2761	2966	2880	2615	1,14
Pp1s100_193V6	184	53	89	152	59	207	1,28
Pp1s100_197V6	48	50	74	31	30	29	-1,91
Pp1s100_198V6	18115	19360	12890	14215	22392	12488	-1,03
Pp1s100_200V6	1864	1360	1492	1035	1231	1134	-1,39
Pp1s100_202V6	154	100	156	122	104	99	-1,26
Pp1s100_203V6	37	83	80	56	85	43	-1,09
Pp1s100_218V2	13087	12192	15086	17840	18775	19242	1,38
Pp1s100_218V6	9680	9591	13757	14206	14768	13843	1,3
Pp1s100_219V6	2847	3438	3693	2662	2836	2276	-1,28
Pp1s100_220V6	637	658	414	1084	1137	1207	2,01
Pp1s100_221V6	60	62	50	48	99	77	1,3
Pp1s100_222V6	1765	3777	1295	1640	2694	2029	-1,07
Pp1s100_225V6	166	39	31	75	87	120	1,19
Pp1s100_228V6	237	595	253	361	291	410	-1,02
Pp1s100_230V6	38	131	57	72	51	62	-1,22
Pp1s100_231V6	3003	3490	1851	1557	2630	2207	-1,3
Pp1s100_236V6	1309	1076	845	1172	973	1009	-1,02
Pp1s100_238V6	539	802	771	723	549	720	-1,06
Pp1s100_239V6	1006	1512	1034	1388	1257	1264	1,1
Pp1s100_23V6	9557	10105	8121	8589	9380	9441	-1,01
Pp1s100_240V6	6508	6395	6199	6638	6595	5875	1
Pp1s100_241V6	624	930	805	1173	1274	946	1,44
Pp1s100_242V6	1163	1432	1802	1306	1635	1379	-1,02
Pp1s100_243V6	4548	5167	4574	4555	4727	4720	-1,02
Pp1s100_244V6	123	90	214	84	88	149	-1,33
Pp1s100_246V6	1907	1650	1598	2130	1787	1669	1,08
Pp1s100_247V6	2243	1978	1842	2327	2081	1703	1,01
Pp1s100_248V6	2302	2684	2249	1860	1975	2141	-1,21
Pp1s100_24V6	1485	1259	1040	1261	1048	1174	-1,09
Pp1s100_251V6	49	54	67	35	37	35	-1,59
Pp1s100_253V6	3638	4003	4351	5686	5122	4669	1,29
Pp1s100_27V6	192	431	358	408	568	454	1,46
Pp1s100_28V6	119	170	189	254	115	164	1,12
Pp1s100_29V6	68	99	88	118	88	51	1,01
Pp1s100_30V6	4482	4807	4417	5798	5297	5671	1,22
Pp1s100_32V6	39	33	37	38	26	50	1,05
Pp1s100_33V6	3254	3456	3791	3622	3417	3900	1,04
Pp1s100_34V6	3960	4078	3855	3557	3306	4245	-1,07
Pp1s100_36V6	7186	7463	7472	7806	7070	9003	1,08
Pp1s100_37V6	335	167	277	109	208	323	-1,22
Pp1s100_38V6	2219	2177	1870	1967	1926	2377	1
Pp1s100_41V6	209	250	239	196	224	246	-1,05
Pp1s100_44V6	1913	1952	2252	2068	2028	2268	1,04
Pp1s100_46V6	25	50	63	47	74	42	1,18
Pp1s100_48V6	426	615	656	879	1258	1043	1,87
Pp1s100_4V6	41	36	44	48	43	34	1,03
Pp1s100_51V6	42	35	51	28	33	35	-1,33
Pp1s100_53V6	35	23	39	32	64	36	1,36
Pp1s100_54V6	2696	2610	2323	2142	2546	2832	-1,01
Pp1s100_55V6	6032	5733	5205	5735	6317	5513	1,04
Pp1s100_5V6	33	24	39	33	34	31	1,02
Pp1s100_61V6	12649	14070	12703	13186	12632	12185	-1,04
Pp1s100_63V6	2176	2146	2217	2250	2706	2803	1,19
Pp1s100_68V6	495	411	398	353	495	302	-1,13
Pp1s100_69V6	1027	1063	865	964	850	880	-1,1
Pp1s100_6V6	53	48	52	38	26	41	-1,46
Pp1s100_70V6	78	37	37	33	50	76	1,05
Pp1s100_71V6	199	306	181	225	206	154	-1,17
Pp1s100_73V6	1044	925	1058	662	615	714	-1,52
Pp1s100_74V6	436	619	729	636	571	531	-1,03
Pp1s100_75V6	1024	1122	899	971	899	1073	-1,03
Pp1s100_76V6	1447	1587	1353	1528	1293	1340	-1,05
Pp1s100_77V6	68	59	60	38	32	35	-1,78
Pp1s100_79V6	2901	3175	3212	3490	3234	2733	1,02
Pp1s100_81V6	37	49	65	52	61	79	1,27
Pp1s100_85V6	5332	5547	5271	4989	5736	6079	1,04
Pp1s100_86V6	201	239	154	237	175	174	-1,01
Pp1s100_87V6	6380	6114	8204	6865	6402	6867	-1,03
Pp1s100_89V6	513	442	637	576	625	624	1,15
Pp1s100_92V6	1352	1120	977	962	1001	988	-1,17
Pp1s100_96V6	4989	4199	5946	5165	5914	4927	1,06
Pp1s100_99V6	5529	5011	6268	6943	7951	6502	1,27
Pp1s100_9V6	1955	1796	2792	1598	1706	1888	-1,26
Pp1s1011_3V6	854	650	555	799	703	629	1,03
Pp1s1011_6V6	797	677	670	732	718	644	-1,02
Pp1s10125_1V6	37	60	95	75	56	60	-1,01
Pp1s10155_1V6	40	55	145	63	68	62	-1,24
Pp1s10196_1V6	69	63	59	91	62	52	1,07
Pp1s10198_1V6	60	53	50	25	23	34	-1,99
Pp1s101_101V6	546	380	437	367	617	762	1,28
Pp1s101_102V6	171	98	91	56	142	90	-1,25
Pp1s101_103V6	1336	1688	1575	2011	2180	2144	1,38
Pp1s101_105V6	496	953	978	1303	1085	1208	1,48
Pp1s101_108V6	2978	2834	2860	2951	3276	2892	1,05
Pp1s101_10V6	30737	29976	28666	30222	27039	28260	-1,05
Pp1s101_111V6	140	232	141	214	224	222	1,29
Pp1s101_116V6	4873	4430	6499	6420	6469	5528	1,17
Pp1s101_117V6	226	149	70	181	197	109	1,09
Pp1s101_118V6	1673	1867	1790	1748	2125	2025	1,11
Pp1s101_119V6	117	228	252	198	291	140	1,05
Pp1s101_120V6	7240	7219	7087	8363	8139	7681	1,12
Pp1s101_121V6	64	122	94	91	166	105	1,29
Pp1s101_123V6	54	52	64	49	134	57	1,41
Pp1s101_124V6	62	75	64	58	90	57	1,02
Pp1s101_125V6	446	285	270	273	254	222	-1,34
Pp1s101_131V6	58	37	91	71	40	78	1,02
Pp1s101_132V6	49	56	74	60	61	69	1,06
Pp1s101_133V6	62	498	486	236	140	262	-1,64
Pp1s101_134V6	1564	1544	1607	2446	2058	2155	1,41
Pp1s101_138V6	2671	1920	2156	2974	2715	2290	1,18
Pp1s101_141V6	1747	2569	1627	2994	3212	2474	1,46
Pp1s101_148V6	4364	3932	4119	4610	4855	4564	1,13
Pp1s101_149V6	1523	1456	1682	1952	1661	2087	1,22
Pp1s101_150V6	870	746	1569	781	1339	859	-1,07
Pp1s101_151V6	5578	5860	5903	5551	5402	6009	-1,02
Pp1s101_152V6	15149	16389	18830	15577	15714	15877	-1,07
Pp1s101_153V6	3685	3904	4244	3987	4493	3625	1,02
Pp1s101_158V6	3734	3756	4226	4360	4700	5012	1,2
Pp1s101_159V6	1704	2289	2473	1920	1878	1854	-1,14
Pp1s101_160V6	1925	2507	1631	2652	2300	2408	1,21
Pp1s101_161V6	782	803	903	917	656	899	-1,01
Pp1s101_162V6	5624	5115	4406	5062	4198	4552	-1,1
Pp1s101_163V6	45	42	42	41	34	31	-1,22
Pp1s101_166V6	2696	2743	2654	3179	2468	2313	-1,02
Pp1s101_168V6	3902	4704	4740	4531	4765	4751	1,05
Pp1s101_169V6	3881	4009	3764	7507	7457	7803	1,95
Pp1s101_16V6	37	61	42	43	33	33	-1,28
Pp1s101_170V6	12672	12834	13342	12569	10991	12003	-1,09
Pp1s101_171V6	4540	3557	3998	7416	7878	6830	1,83
Pp1s101_172V6	29	49	82	69	128	77	1,71
Pp1s101_173V6	108	275	155	488	366	409	2,35
Pp1s101_174V6	4706	4190	4620	4667	4259	4367	-1,02
Pp1s101_178V6	261	145	181	384	318	232	1,59
Pp1s101_17V6	7582	6222	10235	5069	5269	4216	-1,65
Pp1s101_182V6	1533	1759	1957	1896	1766	2234	1,12
Pp1s101_183V6	4708	4867	4068	3480	4005	3632	-1,23
Pp1s101_184V6	9372	8295	10078	10239	8642	10386	1,05
Pp1s101_185V6	3471	4347	3910	4385	4711	4439	1,15
Pp1s101_187V6	59	43	52	98	94	68	1,69
Pp1s101_18V6	3878	5095	5471	5029	4926	5618	1,08
Pp1s101_190V6	417	221	186	395	664	304	1,65
Pp1s101_191V6	59	160	38	64	50	67	-1,42
Pp1s101_192V6	11757	9564	11415	10998	11287	11355	1,03
Pp1s101_193V6	128	229	268	241	163	171	-1,09
Pp1s101_195V6	29	36	29	25	27	24	-1,24
Pp1s101_196V6	1651	2177	1760	1281	1148	1020	-1,62
Pp1s101_199V6	115	139	109	283	110	49	1,22
Pp1s101_19V6	98	138	664	90	173	165	-2,1
Pp1s101_1V6	11704	12251	12569	14456	12232	13756	1,11
Pp1s101_201V6	3348	4147	4338	4915	5140	5855	1,34
Pp1s101_203V6	2431	2590	2232	1980	1716	2339	-1,2
Pp1s101_204V6	36	41	98	53	51	54	-1,11
Pp1s101_206V6	47	32	49	40	40	53	1,04
Pp1s101_208V6	23848	24072	23786	24538	23718	25116	1,02
Pp1s101_210V6	2442	2766	2231	2807	1948	2318	-1,05
Pp1s101_214V6	109	163	114	85	110	56	-1,54
Pp1s101_215V6	2182	2112	2545	2331	2303	2271	1,01
Pp1s101_216V6	221	113	220	114	332	52	-1,11
Pp1s101_218V6	163	191	165	167	134	142	-1,17
Pp1s101_219V6	1356	1023	1133	1094	1025	1364	-1,01
Pp1s101_221V6	41	34	43	42	43	41	1,07
Pp1s101_223V6	115	90	93	101	153	154	1,37
Pp1s101_224V6	3170	2943	2761	2549	2539	2699	-1,14
Pp1s101_225V6	5644	6880	5784	6151	5899	7218	1,05
Pp1s101_226V6	32242	27236	29949	29478	28423	27018	-1,05
Pp1s101_227V6	2965	2084	2513	2296	1923	1893	-1,24
Pp1s101_229V6	5072	5125	4907	4758	4952	4841	-1,04
Pp1s101_22V6	87	153	84	71	48	53	-1,88
Pp1s101_237V6	32	46	48	26	33	41	-1,26
Pp1s101_238V6	473	444	308	580	303	506	1,13
Pp1s101_239V6	3772	3723	3523	3042	2932	3143	-1,21
Pp1s101_240V6	9821	11187	10259	6827	5462	6658	-1,65
Pp1s101_241V6	5690	4933	5496	3943	4236	4029	-1,32
Pp1s101_244V6	2199	1995	1706	1466	1308	1544	-1,37
Pp1s101_245V6	23346	20347	21188	20326	18921	20047	-1,09
Pp1s101_246V6	223	147	178	403	212	91	1,29
Pp1s101_248V6	1499	802	1193	1372	1828	1738	1,41
Pp1s101_24V6	24935	22515	23468	17246	16523	14268	-1,48
Pp1s101_254V6	6940	9256	7844	7587	8150	7703	-1,03
Pp1s101_26V6	4706	5176	4470	4005	4482	4469	-1,11
Pp1s101_28V6	1160	957	1178	985	892	1061	-1,12
Pp1s101_29V6	836	1061	1269	1102	849	1080	-1,04
Pp1s101_2V6	32804	33381	33087	35647	34373	35504	1,06
Pp1s101_33V6	11196	11809	11167	12773	13222	11549	1,1
Pp1s101_34V6	33	38	58	49	47	46	1,1
Pp1s101_35V6	74	73	62	41	81	49	-1,22
Pp1s101_41V6	80	75	56	57	33	38	-1,65
Pp1s101_42V6	63	76	52	43	89	76	1,09
Pp1s101_43V6	43	46	54	56	57	39	1,06
Pp1s101_44V2	186	143	215	155	139	151	-1,22
Pp1s101_44V6	1348	1054	1607	961	1022	892	-1,39
Pp1s101_45V6	148	54	80	66	108	57	-1,22
Pp1s101_49V6	251	179	199	157	208	149	-1,22
Pp1s101_4V6	4555	3967	4323	4003	4218	5056	1,03
Pp1s101_50V6	10300	11936	7746	8160	10440	11176	-1,01
Pp1s101_52V6	982	648	657	267	306	302	-2,61
Pp1s101_55V2	2603	2579	2474	2625	3522	2809	1,17
Pp1s101_55V6	1978	1714	1768	2377	3042	2446	1,44
Pp1s101_56V6	2287	3009	3293	3477	5102	3776	1,44
Pp1s101_57V6	243	233	371	428	316	608	1,6
Pp1s101_58V6	95	409	216	218	497	364	1,5
Pp1s101_60V6	33	60	58	289	138	137	3,74
Pp1s101_62V6	2084	2439	1393	1953	1955	2028	1
Pp1s101_63V2	2110	2154	1875	2753	1848	2447	1,15
Pp1s101_64V6	5956	6275	6776	7572	6408	6262	1,06
Pp1s101_65V6	363	106	259	293	296	270	1,18
Pp1s101_66V6	8216	8451	8771	8929	9418	8227	1,04
Pp1s101_67V6	4752	4009	4607	5535	5401	5319	1,22
Pp1s101_71V6	69	41	45	37	33	41	-1,4
Pp1s101_73V6	3415	3665	3656	4205	3771	4036	1,12
Pp1s101_74V6	31465	32892	30106	32441	31584	33154	1,03
Pp1s101_75V6	441	866	909	957	831	1328	1,41
Pp1s101_76V6	104	209	225	355	217	390	1,79
Pp1s101_77V6	42	56	64	47	42	53	-1,14
Pp1s101_78V6	94	93	105	92	73	45	-1,39
Pp1s101_79V6	1397	1752	1612	1959	1709	1526	1,09
Pp1s101_80V6	13216	14142	13849	14006	13477	13040	-1,02
Pp1s101_81V6	47	43	81	80	83	76	1,4
Pp1s101_82V6	7156	6811	7396	7494	6844	6845	-1,01
Pp1s101_84V6	133	60	54	86	114	123	1,31
Pp1s101_86V6	27	53	159	54	95	75	-1,07
Pp1s101_8V6	9535	10221	9832	10056	9315	9516	-1,02
Pp1s101_91V6	298	212	214	324	675	196	1,65
Pp1s101_94V6	1464	1453	1397	1295	1319	1450	-1,06
Pp1s101_95V6	23833	24560	22193	26619	25363	25934	1,1
Pp1s101_96V6	29	35	27	38	32	38	1,19
Pp1s101_99V6	1237	1667	1473	1496	1422	1743	1,06
Pp1s101_9V6	3686	4094	4594	3507	4237	3759	-1,08
Pp1s10201_1V6	43	69	50	42	89	40	1,06
Pp1s1020_4V6	138	147	98	206	127	151	1,26
Pp1s10239_2V6	74	30	57	25	31	30	-1,87
Pp1s10261_1V6	69	44	50	47	35	31	-1,44
Pp1s10292_2V6	53	62	46	69	65	45	1,11
Pp1s102_100V6	5601	5178	5897	8585	8242	7060	1,43
Pp1s102_101V6	4108	4881	5315	4587	4950	4924	1,01
Pp1s102_102V6	1443	1862	1327	1777	1588	1386	1,03
Pp1s102_105V6	340	154	459	284	235	338	-1,11
Pp1s102_106V6	72	67	30	31	24	48	-1,64
Pp1s102_107V2	33232	39037	34614	37787	35351	35950	1,02
Pp1s102_107V6	31440	33131	31379	35040	34101	36386	1,1
Pp1s102_108V6	75	62	103	66	95	103	1,1
Pp1s102_109V6	105	102	90	109	37	74	-1,35
Pp1s102_114V6	59	65	47	54	32	43	-1,33
Pp1s102_115V6	41	50	35	43	53	46	1,13
Pp1s102_117V6	481	704	611	536	351	682	-1,14
Pp1s102_118V6	98	69	217	142	190	138	1,22
Pp1s102_120V6	2038	2527	2462	2302	2098	1977	-1,1
Pp1s102_126V6	21237	24375	22143	20644	20146	24530	-1,04
Pp1s102_128V6	333	448	324	444	237	403	-1,02
Pp1s102_12V6	1454	1963	1981	2441	2351	1978	1,25
Pp1s102_130V6	7772	7169	6164	4923	4575	5979	-1,36
Pp1s102_133V2	14150	12029	11920	12105	13208	15109	1,06
Pp1s102_133V6	32625	32255	30605	31172	32032	28535	-1,04
Pp1s102_135V6	5379	6588	5380	5164	4906	4852	-1,16
Pp1s102_136V6	19190	17844	18451	19237	18374	17862	-1
Pp1s102_138V6	4913	5774	6251	6063	5936	4621	-1,02
Pp1s102_139V2	9321	9244	8853	10386	11636	11620	1,23
Pp1s102_139V6	9326	10130	9258	10517	10519	11106	1,12
Pp1s102_140V6	6632	8136	6834	7974	8591	8640	1,17
Pp1s102_141V6	7467	7867	7429	7924	7926	7158	1,01
Pp1s102_143V6	82	159	35	60	67	181	1,12
Pp1s102_147V6	1356	854	747	850	929	782	-1,15
Pp1s102_148V6	9410	10758	9424	9164	9408	10293	-1,03
Pp1s102_14V6	1082	833	952	837	951	812	-1,1
Pp1s102_150V6	1260	1314	1729	1491	1420	1674	1,07
Pp1s102_151V6	2358	2095	1594	2382	1799	1606	-1,04
Pp1s102_152V6	60	50	84	42	46	48	-1,43
Pp1s102_154V6	53	38	34	42	36	43	-1,03
Pp1s102_155V6	2541	2104	2255	2398	2129	1523	-1,14
Pp1s102_15V6	9369	8116	9778	8421	7248	7409	-1,18
Pp1s102_164V6	56	67	75	192	242	405	4,24
Pp1s102_165V6	32	75	69	143	90	103	1,91
Pp1s102_167V6	127	54	123	116	75	112	-1
Pp1s102_16V6	681	364	576	757	658	681	1,29
Pp1s102_171V6	65	39	36	72	46	91	1,49
Pp1s102_176V6	5456	5512	6486	5716	5303	5515	-1,06
Pp1s102_177V6	60	29	38	43	37	24	-1,22
Pp1s102_179V6	35	31	29	35	33	30	1,03
Pp1s102_17V6	5081	4899	4242	4934	4105	4328	-1,06
Pp1s102_180V6	26	47	34	65	65	57	1,75
Pp1s102_181V6	32503	27069	35224	28316	28112	22681	-1,2
Pp1s102_187V6	92	30	110	97	85	83	1,14
Pp1s102_189V6	3478	4096	3645	3414	3178	3572	-1,1
Pp1s102_190V6	1795	2277	1952	1964	1955	2318	1,04
Pp1s102_194V6	191	123	220	265	299	264	1,55
Pp1s102_196V6	7488	6329	6162	6781	7514	7033	1,07
Pp1s102_19V6	1264	866	1296	605	1200	1117	-1,17
Pp1s102_201V6	46	111	91	128	47	114	1,17
Pp1s102_204V6	66	68	59	83	348	111	2,81
Pp1s102_205V6	89	60	67	73	58	69	-1,08
Pp1s102_20V6	1537	1673	1643	1817	2150	1920	1,21
Pp1s102_210V6	183	328	328	286	169	220	-1,24
Pp1s102_217V6	2354	2900	2073	2020	2201	2038	-1,17
Pp1s102_21V6	98	143	77	139	226	95	1,45
Pp1s102_22V6	107	87	68	39	42	40	-2,17
Pp1s102_23V6	30	44	38	35	33	33	-1,11
Pp1s102_28V6	58	43	35	55	41	37	-1,02
Pp1s102_32V6	727	607	371	427	444	360	-1,39
Pp1s102_33V6	54	55	66	24	43	41	-1,62
Pp1s102_34V6	31	37	58	30	46	34	-1,15
Pp1s102_35V6	8879	8482	8255	7827	7410	6795	-1,16
Pp1s102_3V6	453	247	350	499	387	498	1,32
Pp1s102_41V6	5822	4825	4328	1301	1255	1354	-3,83
Pp1s102_47V6	90	36	32	39	45	29	-1,4
Pp1s102_49V6	6838	5856	4514	1836	1707	2091	-3,05
Pp1s102_50V6	1958	2357	893	141	184	110	-11,97
Pp1s102_55V6	38	33	32	20	81	22	1,19
Pp1s102_57V6	167	43	36	56	45	37	-1,78
Pp1s102_59V6	9302	9875	8953	2597	2529	2636	-3,62
Pp1s102_5V6	1480	1798	1723	2210	1888	1815	1,18
Pp1s102_61V6	49	91	55	54	60	48	-1,2
Pp1s102_63V6	3490	3467	5475	3917	4271	4093	-1,01
Pp1s102_66V6	1641	1786	1881	2463	1854	2189	1,23
Pp1s102_67V6	28452	29744	29556	31247	29243	27374	1
Pp1s102_69V6	46	31	38	50	43	30	1,07
Pp1s102_71V6	9911	9258	9494	10812	13789	11989	1,28
Pp1s102_72V6	80	50	35	26	30	36	-1,79
Pp1s102_73V6	75	30	59	36	29	29	-1,74
Pp1s102_74V6	1308	1385	1174	968	1190	1358	-1,1
Pp1s102_76V6	23	53	42	43	41	58	1,2
Pp1s102_77V6	101	65	387	225	230	202	1,19
Pp1s102_79V6	2475	2002	2921	2231	2447	2041	-1,1
Pp1s102_81V6	13190	11203	13274	13486	10677	13163	-1,01
Pp1s102_82V6	714	599	548	593	676	637	1,02
Pp1s102_86V6	49	45	47	52	71	70	1,37
Pp1s102_87V6	5355	5398	4632	5587	5323	5819	1,09
Pp1s102_88V2	2757	3253	3528	1462	1599	2225	-1,8
Pp1s102_88V6	2877	2805	3443	1600	1483	2670	-1,59
Pp1s102_90V6	6400	7421	6751	6618	7394	7687	1,05
Pp1s102_92V6	40	24	41	24	22	54	-1,05
Pp1s102_93V6	1511	1648	1201	2086	2448	1902	1,48
Pp1s102_94V6	42	145	80	78	172	84	1,25
Pp1s102_97V6	91	57	45	53	59	66	-1,08
Pp1s10334_1V6	45	41	127	38	46	41	-1,7
Pp1s10358_1V6	20	37	31	47	36	45	1,45
Pp1s10377_2V6	54	54	42	63	55	43	1,07
Pp1s10390_1V6	48	43	42	49	67	90	1,55
Pp1s103_103V6	775	832	877	708	650	878	-1,11
Pp1s103_109V6	942	930	306	672	474	537	-1,29
Pp1s103_117V6	2926	2336	3370	2479	2201	2143	-1,27
Pp1s103_118V6	5070	5253	5032	5335	5572	5345	1,06
Pp1s103_119V6	14316	15159	12663	15898	17004	16483	1,17
Pp1s103_120V6	1992	1926	1689	2230	2120	2298	1,19
Pp1s103_129V6	1383	1109	1754	1930	1586	1748	1,24
Pp1s103_12V6	4125	3177	3904	3726	3049	2776	-1,17
Pp1s103_135V6	49	50	70	233	333	262	4,9
Pp1s103_139V6	46	81	78	188	124	122	2,12
Pp1s103_13V6	4683	4431	5207	4825	4034	5378	-1,01
Pp1s103_140V6	93	68	47	55	34	74	-1,28
Pp1s103_142V6	118	53	73	37	33	26	-2,54
Pp1s103_143V6	40	29	29	42	26	23	-1,08
Pp1s103_145V6	75	48	90	88	83	67	1,12
Pp1s103_148V6	85	114	183	115	135	131	-1
Pp1s103_152V6	23	24	28	30	29	50	1,45
Pp1s103_154V6	5136	3799	4348	4606	5562	4492	1,1
Pp1s103_155V6	39	47	44	33	29	28	-1,44
Pp1s103_18V6	49	37	54	28	47	45	-1,17
Pp1s103_21V6	3801	5008	4569	3378	3365	2910	-1,39
Pp1s103_23V6	3567	3971	3823	2646	2730	2733	-1,4
Pp1s103_24V6	2936	3525	3371	2144	2070	1901	-1,61
Pp1s103_26V6	42	46	51	70	43	47	1,15
Pp1s103_27V6	398	466	245	299	270	416	-1,13
Pp1s103_29V6	2520	2317	3316	3250	2793	3127	1,12
Pp1s103_30V6	94	38	51	82	101	77	1,42
Pp1s103_35V6	1362	1174	1022	1087	1114	1273	-1,02
Pp1s103_36V6	44	35	72	38	24	32	-1,61
Pp1s103_41V6	44	44	64	41	28	44	-1,35
Pp1s103_43V6	1529	2159	1622	2414	1812	2105	1,19
Pp1s103_47V6	80	53	60	92	56	77	1,17
Pp1s103_49V6	3475	4149	3327	3672	3853	3509	1,01
Pp1s103_50V6	65	56	66	64	54	72	1,02
Pp1s103_52V6	36	28	63	53	36	37	-1,01
Pp1s103_53V6	62	136	37	55	84	70	-1,12
Pp1s103_56V6	50	27	50	153	56	122	2,61
Pp1s103_58V6	44	28	31	38	41	42	1,17
Pp1s103_59V6	61	79	108	113	124	92	1,33
Pp1s103_62V6	2292	1776	1960	1672	1575	1775	-1,2
Pp1s103_63V6	16546	16744	17766	15076	17788	17868	-1,01
Pp1s103_64V6	213	79	155	110	67	77	-1,76
Pp1s103_65V6	3807	2304	2894	3709	2727	2540	-1
Pp1s103_66V6	18283	19882	18135	17881	17332	16768	-1,08
Pp1s103_67V6	22331	24516	20051	19479	17714	20100	-1,17
Pp1s103_73V6	1409	1281	698	175	99	324	-5,67
Pp1s103_74V6	691	692	688	604	761	584	-1,06
Pp1s103_75V6	3039	2595	2499	2737	2588	3029	1,03
Pp1s103_77V6	37	40	59	66	50	60	1,29
Pp1s103_78V6	85	26	38	32	28	27	-1,71
Pp1s103_79V6	2389	2495	2506	2291	2315	2357	-1,06
Pp1s103_80V6	3825	2393	3575	2553	2589	2231	-1,33
Pp1s103_81V6	6914	5830	6488	7805	8888	6812	1,22
Pp1s103_85V6	68	36	35	56	38	49	1,03
Pp1s103_89V6	12787	11628	11624	9757	10990	9470	-1,19
Pp1s103_90V6	968	1320	1128	969	941	770	-1,27
Pp1s103_92V6	3651	4006	4326	4160	3831	4309	1,03
Pp1s103_93V6	3394	4664	2927	3226	2687	3260	-1,2
Pp1s103_94V6	7902	7855	7596	8095	7918	8521	1,05
Pp1s103_96V6	55	59	79	49	40	37	-1,53
Pp1s103_99V6	6289	5402	5881	4572	4778	4924	-1,23
Pp1s10444_1V6	39	47	31	28	35	55	1,01
Pp1s10451_2V6	32	58	35	53	50	35	1,1
Pp1s104_101V6	4570	5107	4442	4601	3557	4189	-1,14
Pp1s104_102V6	2243	2054	2173	2138	2520	2235	1,07
Pp1s104_105V6	41	38	47	38	33	44	-1,1
Pp1s104_107V6	113	219	287	385	178	328	1,44
Pp1s104_108V6	4705	4486	4871	4717	4396	5575	1,04
Pp1s104_10V6	3493	3795	4149	3718	3330	3058	-1,13
Pp1s104_110V6	761	1124	917	709	542	597	-1,52
Pp1s104_112V6	4588	3636	3698	3005	3374	3290	-1,23
Pp1s104_113V6	84	88	29	52	124	80	1,27
Pp1s104_115V6	7201	6910	5935	6243	6216	6727	-1,04
Pp1s104_116V6	165	180	162	142	127	122	-1,3
Pp1s104_117V6	49	40	35	27	22	36	-1,46
Pp1s104_119V6	2009	2275	2200	3040	2632	2723	1,29
Pp1s104_11V6	469	420	366	491	438	366	1,03
Pp1s104_126V6	9167	8505	9689	10514	10374	8148	1,06
Pp1s104_128V6	31447	32564	31082	29966	29327	30810	-1,06
Pp1s104_12V6	4557	4589	3937	4696	4426	4909	1,07
Pp1s104_132V6	63	74	56	33	44	27	-1,86
Pp1s104_133V6	139	146	83	163	150	140	1,23
Pp1s104_134V6	327	228	272	375	441	399	1,47
