probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s37_7V6	5742	5473	5587	4624	4591	5109	-1,17
Pp1s37_80V6	2354	2318	2370	2395	2361	1223	-1,18
Pp1s37_82V6	3519	3860	3487	3665	4126	3712	1,06
Pp1s37_83V6	8924	9514	9847	9883	9666	10031	1,05
Pp1s37_84V6	59	40	39	62	45	48	1,12
Pp1s37_87V6	33	26	33	98	66	34	2,15
Pp1s37_90V6	183	477	259	588	442	498	1,66
Pp1s37_94V6	81	40	40	27	44	25	-1,68
Pp1s37_96V2	902	890	946	451	567	637	-1,65
Pp1s37_97V6	2118	1386	2049	1194	1239	1529	-1,4
Pp1s37_98V6	18015	15633	15585	17521	18670	15155	1,04
Pp1s380_12V6	263	320	68	106	134	139	-1,72
Pp1s380_13V6	1983	2734	2296	2125	2535	2596	1,03
Pp1s380_14V6	664	455	596	610	626	636	1,09
Pp1s380_16V6	462	498	584	432	575	620	1,05
Pp1s380_17V6	28330	29872	27185	26062	26698	25886	-1,09
Pp1s380_18V6	6703	5219	6058	5954	7407	6806	1,12
Pp1s380_23V6	49	38	88	139	42	55	1,35
Pp1s380_24V6	1474	1403	1584	1339	1237	1325	-1,14
Pp1s380_25V2	13338	12120	13419	14850	14608	15336	1,15
Pp1s380_25V6	12529	11237	13187	14850	12596	13748	1,11
Pp1s380_26V6	207	79	271	167	137	141	-1,25
Pp1s380_28V6	4602	3647	4794	4759	4629	3963	1,02
Pp1s380_8V6	106	230	185	107	64	187	-1,46
Pp1s3815_2V6	36	54	49	47	67	32	1,05
Pp1s3815_3V6	43	33	43	29	46	33	-1,1
Pp1s381_11V6	13094	14079	12663	18336	17614	16571	1,32
Pp1s381_15V6	3042	2994	3586	3848	3808	4037	1,22
Pp1s381_16V6	11465	14895	11150	13938	12305	14051	1,07
Pp1s381_17V6	8100	7741	7989	7338	7098	7876	-1,07
Pp1s381_18V6	16007	16895	15404	16705	16813	16393	1,03
Pp1s381_1V6	1258	933	526	989	727	1328	1,12
Pp1s381_21V6	15996	14730	15472	13679	15192	14971	-1,05
Pp1s381_24V6	408	342	426	453	284	237	-1,21
Pp1s381_25V2	7265	7724	7034	7423	7859	8420	1,08
Pp1s381_25V6	3728	4101	3715	3959	4470	4637	1,13
Pp1s381_2V6	1158	964	1116	780	969	1087	-1,14
Pp1s381_30V6	5744	6858	5292	4949	6092	4267	-1,17
Pp1s381_32V6	35	35	68	38	41	35	-1,21
Pp1s381_33V6	58	31	55	188	122	135	3,09
Pp1s381_34V6	48	138	187	97	192	141	1,15
Pp1s381_35V6	4250	3893	3794	4358	5100	5097	1,22
Pp1s381_36V6	542	462	471	597	579	597	1,2
Pp1s381_37V6	90	38	65	61	36	52	-1,3
Pp1s381_39V6	4701	4065	4058	4227	4077	4723	1,02
Pp1s381_42V6	38	31	35	26	24	31	-1,28
Pp1s381_46V6	4777	4353	5314	5471	5538	6389	1,2
Pp1s381_49V6	29	38	52	32	37	67	1,14
Pp1s381_4V6	2365	2454	2300	2538	2192	2612	1,03
Pp1s381_50V6	4392	6667	6144	7003	5871	6315	1,12
Pp1s381_51V6	3636	3391	3386	4139	3692	3538	1,09
Pp1s381_52V6	1314	1160	1562	1315	1218	1597	1,02
Pp1s381_53V6	88	61	43	36	34	50	-1,6
Pp1s381_5V6	36	77	39	72	39	40	-1,01
Pp1s382_10V6	6133	6227	5649	6200	6125	7523	1,1
Pp1s382_11V6	4463	4331	4494	5680	5927	4972	1,25
Pp1s382_16V6	4030	3815	3968	4534	4634	4698	1,17
Pp1s382_17V6	14973	14278	14096	14642	14723	13315	-1,02
Pp1s382_18V6	1435	1828	1378	1431	1421	1371	-1,1
Pp1s382_19V6	4874	4673	4398	4245	4426	5099	-1,01
Pp1s382_20V6	2112	1311	1792	2195	2108	2422	1,29
Pp1s382_22V6	1806	1350	2042	2170	2126	1790	1,17
Pp1s382_23V6	162	154	205	319	305	250	1,68
