probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s91_133V6__1	710	711	667	696	14,5	603	897	668	722,67	89,16	1,04	0,83	1,25
Pp1s91_134V6__1	1815	2575	2403	2264,33	230,09	2095	2589	2166	2283,33	154,2	1,01	0,83	1,24
Pp1s91_135V6__1	930	1059	1258	1082,33	95,4	1019	1010	1032	1020,33	6,39	-1,06	-0,91	-1,22
Pp1s91_136V6__1	15812	15649	15002	15487,67	247,35	13855	16121	15048	15008	654,44	-1,03	-0,96	-1,12
Pp1s91_137V6__1	6773	6371	5942	6362	239,93	7059	6990	7446	7165	141,9	1,13	1,05	1,21
Pp1s91_138V6__1	41	92	37	56,67	17,7	39	62	45	48,67	6,89	-1,16	-0,55	-1,91
Pp1s91_139V6__1	91	52	38	60,33	15,86	59	32	100	63,67	19,77	1,06	0,48	2,12
Pp1s91_13V6__1	3224	4385	2863	3490,67	459,15	2914	3413	2516	2947,67	259,49	-1,18	-0,9	-1,52
Pp1s91_140V6__1	4751	5921	5225	5299	339,77	6179	5762	6165	6035,33	136,73	1,14	1,02	1,28
Pp1s91_142V6__1	3150	2993	3362	3168,33	106,91	2741	3234	3300	3091,67	176,37	-1,02	-0,92	-1,15
Pp1s91_143V6__1	4710	4685	4467	4620,67	77,17	3707	3755	3638	3700	33,96	-1,25	-1,21	-1,29
Pp1s91_144V6__1	1102	1158	1466	1242	113,16	1562	1670	1604	1612	31,43	1,3	1,12	1,53
Pp1s91_146V6__1	104	193	171	156	26,76	224	261	198	227,67	18,28	1,46	1,1	2,08
Pp1s91_147V6__1	19609	22162	20113	20628	780,68	23421	20741	21785	21982,33	779,92	1,07	0,98	1,16
Pp1s91_149V6__1	2313	2777	4003	3031	504,12	3397	3187	3216	3266,67	65,7	1,08	0,84	1,49
Pp1s91_14V6__1	86	72	90	82,67	5,46	35	71	45	50,33	10,73	-1,64	-1,19	-2,56
Pp1s91_150V6__1	8744	9448	8879	9023,67	215,72	9944	10922	9506	10124	418,55	1,12	1,04	1,21
Pp1s91_151V6__1	93	91	62	82	10,02	38	34	46	39,33	3,53	-2,08	-1,6	-2,66
Pp1s91_154V6__1	8704	9629	9976	9436,33	379,62	10237	10059	7763	9353	796,66	-1,01	-0,87	-1,19
Pp1s91_156V6__1	45	41	54	46,67	3,84	51	67	57	58,33	4,67	1,25	1,03	1,51
Pp1s91_159V6__1	40	25	41	35,33	5,17	30	27	31	29,33	1,2	-1,2	-0,91	-1,51
Pp1s91_15V6__1	12862	13450	14585	13632,33	505,67	10373	10670	11813	10952	438,95	-1,24	-1,14	-1,36
Pp1s91_165V6__1	1883	2150	1759	1930,67	115,36	1507	1850	2291	1882,67	226,91	-1,03	-0,83	-1,3
Pp1s91_167V6__1	119	313	67	166,33	74,85	209	173	130	170,67	22,84	1,03	0,56	3,98
Pp1s91_168V6__1	1079	1244	671	998	170,3	1111	864	1213	1062,67	103,61	1,06	0,79	1,53
Pp1s91_16V6__1	26014	25412	24253	25226,33	516,76	23475	22106	25666	23749	1036,77	-1,06	-0,98	-1,15
Pp1s91_170V6__1	8693	9041	9093	8942,33	125,57	7722	8609	8402	8244,33	267,92	-1,08	-1,02	-1,15
Pp1s91_171V6__1	57	50	46	51	3,21	40	34	35	36,33	1,86	-1,4	-1,23	-1,6
Pp1s91_172V6__1	53	28	68	49,67	11,67	50	59	36	48,33	6,69	-1,03	-0,61	-1,56
Pp1s91_180V6__1	2234	1860	1907	2000,33	117,62	1909	1954	2353	2072	141,1	1,04	0,89	1,2
Pp1s91_181V6__1	2186	1921	2589	2232	194,2	2683	2585	2335	2534,33	103,6	1,14	0,98	1,34
Pp1s91_182V6__1	8459	6973	8287	7906,33	469,3	7756	9004	8228	8329,33	363,81	1,05	0,93	1,19
Pp1s91_191V6__1	46	91	52	63	14,11	25	42	41	36	5,51	-1,75	-1,05	-2,68
Pp1s91_192V6__1	14577	14452	13516	14181,67	334,78	16454	15752	14665	15623,67	520,41	1,1	1,03	1,18
Pp1s91_195V6__1	2246	1216	2061	1841	317,03	2892	2321	2368	2527	183	1,37	1,04	1,95
Pp1s91_196V6__1	43	26	40	36,33	5,24	40	61	49	50	6,08	1,38	1,01	1,91
Pp1s91_198V6__1	50	36	45	43,67	4,1	42	26	32	33,33	4,67	-1,31	-1	-1,76
Pp1s91_19V6__1	1895	1687	2125	1902,33	126,49	1431	1905	1356	1564	171,87	-1,22	-0,99	-1,52
Pp1s91_206V6__1	4734	2229	6405	4456	1213,49	3499	3327	3830	3552	147,6	-1,25	-0,69	-1,83
Pp1s91_215V6__1	697	577	593	622,33	37,62	545	1013	503	687	163,45	1,1	0,67	1,56
Pp1s91_219V6__1	13691	12987	14199	13625,67	351,4	9786	10841	10249	10292	305,31	-1,32	-1,24	-1,41
Pp1s91_21V6__1	62	61	46	56,33	5,17	100	63	107	90	13,65	1,6	1,16	2,11
Pp1s91_220V6__1	7324	7768	7977	7689,67	192,53	7653	7966	7645	7754,67	105,69	1,01	0,96	1,06
Pp1s91_231V6__1	8178	6903	7952	7677,67	392,79	5825	6822	5982	6209,67	309,5	-1,24	-1,1	-1,39
Pp1s91_233V6__1	941	1221	1231	1131	95,04	1078	1006	910	998	48,66	-1,13	-0,96	-1,32
Pp1s91_234V6__1	3568	2966	3140	3224,67	178,86	3285	2880	2521	2895,33	220,68	-1,11	-0,96	-1,31
Pp1s91_235V6__1	155	476	122	251	112,9	165	214	121	166,67	26,86	-1,51	-0,39	-2,85
Pp1s91_237V6__1	36	33	36	35	1	47	47	79	57,67	10,67	1,65	1,14	2,16
Pp1s91_238V6__1	4327	4310	4336	4324,33	7,62	4149	4505	4587	4413,67	134,43	1,02	0,97	1,07
Pp1s91_239V6__1	3615	3795	4086	3832	137,22	4087	3774	4073	3978	102,08	1,04	0,97	1,12
Pp1s91_23V6__1	33	36	57	42	7,55	36	57	58	50,33	7,17	1,2	0,83	1,8
Pp1s91_241V6__1	4583	5045	5315	4981	213,72	4720	5326	5204	5083,33	185,05	1,02	0,93	1,12
Pp1s91_243V6__1	15534	15383	16290	15735,67	280,57	16349	16859	16697	16635	150,45	1,06	1,02	1,09
Pp1s91_247V6__1	29170	28302	27895	28455,67	375,99	26184	26504	27665	26784,33	449,92	-1,06	-1,03	-1,1
Pp1s91_248V6__1	51	42	35	42,67	4,63	30	26	28	28	1,15	-1,52	-1,24	-1,82
Pp1s91_249V6__1	2618	2928	2810	2785,33	90,34	2785	2604	2694	2694,33	52,25	-1,03	-0,97	-1,1
Pp1s91_24V6__1	784	1458	1200	1147,33	196,34	1436	926	1568	1310	195,74	1,14	0,78	1,7
Pp1s91_27V6__1	34152	32531	30837	32506,67	957,04	31454	29664	28521	29879,67	853,52	-1,09	-1,02	-1,16
Pp1s91_35V6__1	83	126	249	152,67	49,74	312	228	185	241,67	37,29	1,58	0,94	3,5
Pp1s91_36V6__1	126	273	239	212,67	44,43	77	113	105	98,33	10,91	-2,16	-1,38	-3,1
Pp1s91_37V6__1	4214	3905	4302	4140,33	120,38	4009	5063	5037	4703	347,08	1,14	0,99	1,29
Pp1s91_39V6__1	1737	1742	1800	1759,67	20,22	1588	1827	1488	1634,33	100,57	-1,08	-0,98	-1,2
Pp1s91_3V6__1	54	69	43	55,33	7,54	27	69	98	64,67	20,61	1,17	0,54	1,92
Pp1s91_40V6__1	95	57	25	59	20,23	42	78	59	59,67	10,4	1,01	0,58	2,39
Pp1s91_41V6__1	2884	3433	3391	3236	176,42	3596	3682	3479	3585,67	58,83	1,11	1,01	1,22
Pp1s91_42V6__1	3745	4516	3719	3993,33	261,44	3882	4314	4579	4258,33	203,12	1,07	0,94	1,22
Pp1s91_43V6__1	4890	4644	4782	4772	71,19	4710	4866	5585	5053,67	269,46	1,06	0,96	1,16
Pp1s91_44V6__1	32	48	46	42	5,03	32	31	34	32,33	0,88	-1,3	-1,04	-1,56
Pp1s91_45V6__1	30	37	32	33	2,08	82	62	71	71,67	5,78	2,17	1,83	2,56
Pp1s91_47V6__1	355	307	81	247,67	84,48	108	114	61	94,33	16,76	-2,63	-1,12	-4,62
Pp1s91_54V6__1	31	43	45	39,67	4,37	26	36	29	30,33	2,96	-1,31	-1,02	-1,67
Pp1s91_57V6__1	2209	2256	2391	2285,33	54,55	2177	1999	2107	2094,33	51,77	-1,09	-1,03	-1,15
Pp1s91_58V6__1	5219	5498	4767	5161,33	212,98	4596	4677	4826	4699,67	67,36	-1,1	-1,02	-1,18
Pp1s91_59V2__1	8681	8612	9317	8870	224,39	10653	10127	9999	10259,67	200,11	1,16	1,1	1,22
Pp1s91_59V6__1	8880	7501	7870	8083,67	412,17	9483	10767	8469	9573	664,9	1,18	1,02	1,36
Pp1s91_60V6__1	4699	5045	5049	4931	116,01	4755	3902	4562	4406,33	258,25	-1,12	-1,01	-1,25
Pp1s91_63V6__1	70	80	389	179,67	104,71	472	671	696	613	70,87	3,41	1,68	82,46
Pp1s91_64V6__1	4852	4952	5377	5060,33	160,94	5508	4938	5598	5348	206,64	1,06	0,97	1,15
Pp1s91_65V6__1	30	73	29	44	14,5	45	51	25	40,33	7,86	-1,09	-0,48	-1,95
Pp1s91_70V6__1	574	758	779	703,67	65,12	703	683	363	583	110,15	-1,21	-0,88	-1,79
Pp1s91_72V6__1	968	880	735	861	67,93	1007	710	482	733	151,99	-1,17	-0,85	-1,81
Pp1s91_74V6__1	4395	5099	4542	4678,67	214,41	4962	4341	4350	4551	205,52	-1,03	-0,92	-1,14
Pp1s91_78V6__1	1220	1099	1118	1145,67	37,57	1327	822	1373	1174	176,5	1,02	0,77	1,29
Pp1s91_7V6__1	53	33	63	49,67	8,82	24	56	62	47,33	11,79	-1,05	-0,64	-1,88
Pp1s91_80V6__1	1673	1499	1763	1645	77,49	1821	1749	1833	1801	26,23	1,09	1,01	1,19
Pp1s91_85V6__1	163	148	168	159,67	6,01	134	176	150	153,33	12,24	-1,04	-0,91	-1,21
Pp1s91_86V6__1	55	54	60	56,33	1,86	45	64	42	50,33	6,89	-1,12	-0,91	-1,45
Pp1s91_87V6__1	19225	17553	18435	18404,33	482,91	21769	18372	19826	19989	984,01	1,09	0,99	1,19
Pp1s91_88V6__1	21256	21510	20713	21159,67	235,06	22253	20457	23456	22055,33	871,36	1,04	0,97	1,11
Pp1s91_91V6__1	13005	12255	12627	12629	216,51	13024	13148	14106	13426	341,88	1,06	1,01	1,12
Pp1s91_92V6__1	30495	29569	34547	31537	1528,56	30379	28420	26754	28517,67	1047,59	-1,11	-1	-1,22
Pp1s91_93V6__1	1486	1444	1583	1504,33	41,16	1080	1185	1354	1206,33	79,81	-1,25	-1,11	-1,41
Pp1s91_94V6__1	1275	1084	1372	1243,67	84,6	1359	1068	1318	1248,33	90,94	1	0,85	1,18
Pp1s91_96V6__1	1253	979	880	1037,33	111,56	865	887	1090	947,33	71,62	-1,1	-0,87	-1,35
Pp1s91_97V6__1	50	41	56	49	4,36	67	68	43	59,33	8,17	1,21	0,91	1,57
Pp1s91_98V6__1	107	271	186	188	47,35	184	282	199	221,67	30,48	1,18	0,76	2,08
Pp1s9201_2V6__1	51	71	106	76	16,07	68	59	40	55,67	8,25	-1,37	-0,85	-2,06
Pp1s9204_1V6__1	58	36	38	44	7,02	36	43	48	42,33	3,48	-1,04	-0,75	-1,37
Pp1s9236_1V6__1	36	36	55	42,33	6,33	41	29	80	50	15,39	1,18	0,57	1,95
Pp1s9236_2V6__1	56	44	96	65,33	15,72	42	54	46	47,33	3,53	-1,38	-0,82	-1,98
Pp1s9258_1V6__1	137	72	40	83	28,54	66	47	51	54,67	5,78	-1,52	-0,65	-2,48
Pp1s9268_2V6__1	54	37	42	44,33	5,04	40	48	48	45,33	2,67	1,02	0,84	1,28
Pp1s926_1V6__1	790	931	739	820	57,42	673	876	864	804,33	65,76	-1,02	-0,86	-1,22
Pp1s9273_2V6__1	72	83	25	60	17,79	51	46	46	47,67	1,67	-1,26	-0,64	-1,88
Pp1s9287_1V6__1	49	47	55	50,33	2,4	57	45	36	46	6,08	-1,09	-0,88	-1,41
Pp1s9294_1V6__1	37	39	32	36	2,08	33	56	34	41	7,51	1,14	0,79	1,51
Pp1s92_100V6__1	6020	6780	6404	6401,33	219,4	6490	5975	6983	6482,67	291,01	1,01	0,92	1,11
Pp1s92_101V6__1	3030	2858	2195	2694,33	254,56	2252	2487	2939	2559,33	201,59	-1,05	-0,86	-1,29
Pp1s92_104V6__1	5257	4813	5852	5307,33	300,99	5714	5221	5813	5582,67	183,08	1,05	0,95	1,18
Pp1s92_105V6__1	4850	5051	5260	5053,67	118,36	4719	4445	4436	4533,33	92,87	-1,11	-1,06	-1,17
Pp1s92_10V6__1	45	121	36	67,33	26,96	100	50	47	65,67	17,19	-1,03	-0,33	-2,18
Pp1s92_112V6__1	50	64	57	57	4,04	58	46	63	55,67	5,04	-1,02	-0,85	-1,24
Pp1s92_125V6__1	4227	6192	4687	5035,33	593,38	4966	4679	4581	4742	115,52	-1,06	-0,85	-1,27
Pp1s92_14V6__1	139	173	97	136,33	21,98	211	147	214	190,67	21,85	1,4	1,02	1,99
Pp1s92_25V6__1	35	28	28	30,33	2,33	29	32	35	32	1,73	1,05	0,91	1,24
