probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s10008_1V6__1	53	45	29	42,33	7,06	36	42	35	37,67	2,19	-1,12	-0,81	-1,46
Pp1s10015_1V6__1	36	43	44	41	2,52	40	37	52	43	4,58	1,05	0,85	1,27
Pp1s10083_1V6__1	55	36	72	54,33	10,4	30	40	30	33,33	3,33	-1,63	-1,09	-2,26
Pp1s100_101V6__1	40	40	63	47,67	7,67	45	44	32	40,33	4,18	-1,18	-0,84	-1,6
Pp1s100_102V6__1	29	24	35	29,33	3,18	38	37	35	36,67	0,88	1,25	1,06	1,53
Pp1s100_104V6__1	233	79	199	170,33	46,71	205	175	167	182,33	11,57	1,07	0,72	1,96
Pp1s100_106V6__1	54	42	26	40,67	8,11	34	38	47	39,67	3,84	-1,03	-0,67	-1,43
Pp1s100_107V6__1	30034	26651	28269	28318	976,9	27611	27701	30363	28558,33	902,71	1,01	0,93	1,09
Pp1s100_108V6__1	6508	7166	6922	6865,33	192,05	6996	6913	7901	7270	316,41	1,06	0,97	1,15
Pp1s100_110V6__1	7566	7229	7252	7349	108,7	8446	7841	7801	8029,33	208,65	1,09	1,04	1,15
Pp1s100_112V6__1	2893	3009	3480	3127,33	179,48	3311	3188	3188	3229	41	1,03	0,94	1,14
Pp1s100_113V6__1	42	28	66	45,33	11,1	31	30	33	31,33	0,88	-1,45	-0,86	-2,04
Pp1s100_116V6__1	810	857	799	822	17,79	538	667	741	648,67	59,31	-1,27	-1,1	-1,5
Pp1s100_117V6__1	9139	10868	9817	9941,33	502,98	9886	9610	9401	9632,33	140,45	-1,03	-0,94	-1,12
Pp1s100_118V6__1	1735	1509	1516	1586,67	74,19	1786	1578	1856	1740	83,48	1,1	0,98	1,22
Pp1s100_119V6__1	26315	23305	25105	24908,33	874,46	23023	24482	21435	22980	879,86	-1,08	-1	-1,18
Pp1s100_120V6__1	1714	2054	1908	1892	98,48	1671	1689	2073	1811	131,1	-1,04	-0,9	-1,21
Pp1s100_121V6__1	5615	4898	5103	5205,33	213,21	4612	5009	4898	4839,67	118,26	-1,08	-0,99	-1,16
Pp1s100_124V6__1	4934	4052	4549	4511,67	255,29	4363	4494	4189	4348,67	88,34	-1,04	-0,94	-1,14
Pp1s100_125V6__1	802	1120	1012	978	93,36	1069	1017	924	1003,33	42,41	1,03	0,87	1,23
Pp1s100_126V6__1	2225	1913	1842	1993,33	117,63	1680	1474	1693	1615,67	70,93	-1,23	-1,09	-1,39
Pp1s100_127V6__1	1138	1636	956	1243,33	203,24	1051	879	994	974,67	50,58	-1,28	-0,92	-1,65
Pp1s100_130V6__1	30	34	46	36,67	4,81	57	37	48	47,33	5,78	1,29	0,96	1,75
Pp1s100_132V6__1	47	43	45	45	1,15	62	70	52	61,33	5,21	1,36	1,17	1,56
Pp1s100_133V6__1	91	37	85	71	17,09	45	67	38	50	8,74	-1,42	-0,81	-2,28
Pp1s100_134V6__1	671	383	652	568,67	93	881	767	740	796	43,21	1,4	1,08	1,94
Pp1s100_135V6__1	34	69	52	51,67	10,11	76	34	61	57	12,29	1,1	0,66	1,8
Pp1s100_136V6__1	4671	4347	5252	4756,67	264,74	3915	3840	4613	4122,67	246,12	-1,15	-1,01	-1,32
Pp1s100_137V6__1	57	24	30	37	10,15	36	38	39	37,67	0,88	1,02	0,7	1,86
Pp1s100_139V6__1	423	247	313	327,67	51,33	254	104	163	173,67	43,63	-1,89	-1,19	-3,36
Pp1s100_141V6__1	3996	4932	4380	4436	271,65	4092	4095	4048	4078,33	15,19	-1,09	-0,98	-1,2
Pp1s100_144V6__1	10761	10595	9844	10400	282,1	15217	14599	15757	15191	334,54	1,46	1,38	1,55
Pp1s100_145V6__1	1950	1817	1991	1919,33	52,52	1741	2045	1829	1871,67	90,31	-1,03	-0,94	-1,13
Pp1s100_146V6__1	2813	2992	3257	3020,67	128,97	2409	2914	2774	2699	150,53	-1,12	-1	-1,26
Pp1s100_147V6__1	849	967	1361	1059	154,79	860	806	1011	892,33	61,35	-1,19	-0,88	-1,52
Pp1s100_149V6__1	937	924	814	891,67	39,01	733	658	745	712	27,22	-1,25	-1,14	-1,38
Pp1s100_14V6__1	299	201	309	269,67	34,45	459	294	385	379,33	47,72	1,41	1,04	1,9
Pp1s100_150V6__1	43	36	36	38,33	2,33	49	30	49	42,67	6,33	1,11	0,83	1,42
Pp1s100_157V6__1	77	281	93	150,33	65,5	144	174	128	148,67	13,48	-1,01	-0,29	-1,78
Pp1s100_161V6__1	71	53	130	84,67	23,25	128	104	157	129,67	15,32	1,53	0,99	2,86
Pp1s100_162V6__1	3818	4045	2532	3465	471,08	3581	4365	5842	4596	662,84	1,33	0,95	1,85
Pp1s100_163V6__1	76	38	34	49,33	13,38	45	65	46	52	6,51	1,05	0,68	1,95
Pp1s100_167V6__1	81	34	67	60,67	13,93	64	32	60	52	10,07	-1,17	-0,68	-1,92
Pp1s100_17V6__1	71	35	40	48,67	11,26	28	60	43	43,67	9,24	-1,11	-0,64	-1,9
Pp1s100_188V6__1	189	239	360	262,67	50,76	201	271	419	297	64,26	1,13	0,67	1,84
Pp1s100_190V6__1	2246	2483	2745	2491,33	144,11	2791	2497	2474	2587,33	102,05	1,04	0,93	1,17
Pp1s100_191V6__1	18536	18495	17258	18096,33	419,33	20243	18962	18987	19397,33	422,89	1,07	1,02	1,13
Pp1s100_192V6__1	2598	2065	2761	2474,67	210,17	2966	2880	2615	2820,33	105,63	1,14	0,99	1,34
Pp1s100_193V6__1	184	53	89	108,67	39,07	152	59	207	139,33	43,19	1,28	0,55	3,39
Pp1s100_197V6__1	48	50	74	57,33	8,35	31	30	29	30	0,58	-1,91	-1,45	-2,38
Pp1s100_198V6__1	18115	19360	12890	16788,33	1982,02	14215	22392	12488	16365	3054,46	-1,03	-0,73	-1,54
Pp1s100_200V6__1	1864	1360	1492	1572	150,89	1035	1231	1134	1133,33	56,58	-1,39	-1,15	-1,64
Pp1s100_202V6__1	154	100	156	136,67	18,34	122	104	99	108,33	6,98	-1,26	-0,96	-1,59
Pp1s100_203V6__1	37	83	80	66,67	14,86	56	85	43	61,33	12,41	-1,09	-0,64	-1,81
Pp1s100_218V2__1	13087	12192	15086	13455	855,45	17840	18775	19242	18619	412,17	1,38	1,24	1,55
Pp1s100_218V6__1	9680	9591	13757	11009,33	1374,07	14206	14768	13843	14272,33	269,08	1,3	1,07	1,63
Pp1s100_219V6__1	2847	3438	3693	3326	250,56	2662	2836	2276	2591,33	165,47	-1,28	-1,09	-1,51
Pp1s100_220V6__1	637	658	414	569,67	78,07	1084	1137	1207	1142,67	35,62	2,01	1,63	2,6
Pp1s100_221V6__1	60	62	50	57,33	3,71	48	99	77	74,67	14,77	1,3	0,87	1,77
Pp1s100_222V6__1	1765	3777	1295	2279	761,19	1640	2694	2029	2121	307,72	-1,07	-0,47	-1,81
Pp1s100_225V6__1	166	39	31	78,67	43,73	75	87	120	94	13,45	1,19	0,59	13,98
Pp1s100_228V6__1	237	595	253	361,67	116,76	361	291	410	354	34,53	-1,02	-0,47	-1,62
Pp1s100_230V6__1	38	131	57	75,33	28,37	72	51	62	61,67	6,06	-1,22	-0,46	-2,05
Pp1s100_231V6__1	3003	3490	1851	2781,33	485,95	1557	2630	2207	2131,33	312,05	-1,3	-0,87	-1,9
Pp1s100_236V6__1	1309	1076	845	1076,67	133,95	1172	973	1009	1051,33	61,22	-1,02	-0,8	-1,27
Pp1s100_238V6__1	539	802	771	704	82,98	723	549	720	664	57,51	-1,06	-0,82	-1,34
Pp1s100_239V6__1	1006	1512	1034	1184	164,2	1388	1257	1264	1303	42,55	1,1	0,89	1,43
Pp1s100_23V6__1	9557	10105	8121	9261	591,54	8589	9380	9441	9136,67	274,4	-1,01	-0,9	-1,13
Pp1s100_240V6__1	6508	6395	6199	6367,33	90,27	6638	6595	5875	6369,33	247,48	1	0,93	1,07
Pp1s100_241V6__1	624	930	805	786,33	88,83	1173	1274	946	1131	96,99	1,44	1,14	1,84
Pp1s100_242V6__1	1163	1432	1802	1465,67	185,23	1306	1635	1379	1440	99,75	-1,02	-0,79	-1,27
Pp1s100_243V6__1	4548	5167	4574	4763	202,14	4555	4727	4720	4667,33	56,2	-1,02	-0,95	-1,09
Pp1s100_244V6__1	123	90	214	142,33	37,08	84	88	149	107	21,03	-1,33	-0,72	-2,26
Pp1s100_246V6__1	1907	1650	1598	1718,33	95,52	2130	1787	1669	1862	138,26	1,08	0,93	1,26
Pp1s100_247V6__1	2243	1978	1842	2021	117,74	2327	2081	1703	2037	181,47	1,01	0,84	1,19
Pp1s100_248V6__1	2302	2684	2249	2411,67	137,02	1860	1975	2141	1992	81,56	-1,21	-1,08	-1,36
Pp1s100_24V6__1	1485	1259	1040	1261,33	128,47	1261	1048	1174	1161	61,83	-1,09	-0,89	-1,3
Pp1s100_251V6__1	49	54	67	56,67	5,36	35	37	35	35,67	0,67	-1,59	-1,34	-1,84
Pp1s100_253V6__1	3638	4003	4351	3997,33	205,84	5686	5122	4669	5159	294,16	1,29	1,14	1,46
Pp1s100_27V6__1	192	431	358	327	70,71	408	568	454	476,67	47,56	1,46	1,02	2,32
Pp1s100_28V6__1	119	170	189	159,33	20,9	254	115	164	177,67	40,7	1,12	0,67	1,67
Pp1s100_29V6__1	68	99	88	85	9,07	118	88	51	85,67	19,38	1,01	0,62	1,46
Pp1s100_30V6__1	4482	4807	4417	4568,67	120,63	5798	5297	5671	5588,67	150,37	1,22	1,15	1,3
Pp1s100_32V6__1	39	33	37	36,33	1,76	38	26	50	38	6,93	1,05	0,73	1,38
Pp1s100_33V6__1	3254	3456	3791	3500,33	156,6	3622	3417	3900	3646,33	139,96	1,04	0,95	1,15
Pp1s100_34V6__1	3960	4078	3855	3964,33	64,41	3557	3306	4245	3702,67	280,68	-1,07	-0,95	-1,23
Pp1s100_36V6__1	7186	7463	7472	7373,67	93,87	7806	7070	9003	7959,67	563,27	1,08	0,95	1,21
Pp1s100_37V6__1	335	167	277	259,67	49,27	109	208	323	213,33	61,83	-1,22	-0,71	-2,44
Pp1s100_38V6__1	2219	2177	1870	2088,67	110	1967	1926	2377	2090	143,99	1	0,86	1,15
Pp1s100_41V6__1	209	250	239	232,67	12,25	196	224	246	222	14,47	-1,05	-0,91	-1,21
Pp1s100_44V6__1	1913	1952	2252	2039	107,09	2068	2028	2268	2121,33	74,24	1,04	0,94	1,16
Pp1s100_46V6__1	25	50	63	46	11,15	47	74	42	54,33	9,94	1,18	0,72	2,09
Pp1s100_48V6__1	426	615	656	565,67	70,83	879	1258	1043	1060	109,74	1,87	1,44	2,48
Pp1s100_4V6__1	41	36	44	40,33	2,33	48	43	34	41,67	4,1	1,03	0,85	1,24
Pp1s100_51V6__1	42	35	51	42,67	4,63	28	33	35	32	2,08	-1,33	-1,07	-1,63
Pp1s100_53V6__1	35	23	39	32,33	4,81	32	64	36	44	10,07	1,36	0,81	2,08
Pp1s100_54V6__1	2696	2610	2323	2543	112,77	2142	2546	2832	2506,67	200,15	-1,01	-0,88	-1,19
Pp1s100_55V6__1	6032	5733	5205	5656,67	241,77	5735	6317	5513	5855	239,72	1,04	0,94	1,14
Pp1s100_5V6__1	33	24	39	32	4,36	33	34	31	32,67	0,88	1,02	0,83	1,32
Pp1s100_61V6__1	12649	14070	12703	13140,67	464,93	13186	12632	12185	12667,67	289,51	-1,04	-0,97	-1,11
Pp1s100_63V6__1	2176	2146	2217	2179,67	20,58	2250	2706	2803	2586,33	170,48	1,19	1,06	1,32
Pp1s100_68V6__1	495	411	398	434,67	30,4	353	495	302	383,33	57,74	-1,13	-0,88	-1,54
Pp1s100_69V6__1	1027	1063	865	985	60,89	964	850	880	898	34,12	-1,1	-0,97	-1,23
Pp1s100_6V6__1	53	48	52	51	1,53	38	26	41	35	4,58	-1,46	-1,19	-1,87
Pp1s100_70V6__1	78	37	37	50,67	13,67	33	50	76	53	12,5	1,05	0,57	2,04
Pp1s100_71V6__1	199	306	181	228,67	39,01	225	206	154	195	21,22	-1,17	-0,81	-1,61
Pp1s100_73V6__1	1044	925	1058	1009	42,19	662	615	714	663,67	28,59	-1,52	-1,38	-1,68
Pp1s100_74V6__1	436	619	729	594,67	85,45	636	571	531	579,33	30,6	-1,03	-0,77	-1,29
Pp1s100_75V6__1	1024	1122	899	1015	64,53	971	899	1073	981	50,48	-1,03	-0,9	-1,18
Pp1s100_76V6__1	1447	1587	1353	1462,33	67,98	1528	1293	1340	1387	71,79	-1,05	-0,94	-1,18
Pp1s100_77V6__1	68	59	60	62,33	2,85	38	32	35	35	1,73	-1,78	-1,59	-1,99
Pp1s100_79V6__1	2901	3175	3212	3096	98,08	3490	3234	2733	3152,33	222,31	1,02	0,89	1,15
Pp1s100_81V6__1	37	49	65	50,33	8,11	52	61	79	64	7,94	1,27	0,92	1,82
Pp1s100_85V6__1	5332	5547	5271	5383,33	83,71	4989	5736	6079	5601,33	321,78	1,04	0,94	1,14
Pp1s100_86V6__1	201	239	154	198	24,58	237	175	174	195,33	20,84	-1,01	-0,77	-1,32
Pp1s100_87V6__1	6380	6114	8204	6899,33	656,84	6865	6402	6867	6711,33	154,67	-1,03	-0,86	-1,2
Pp1s100_89V6__1	513	442	637	530,67	56,98	576	625	624	608,33	16,17	1,15	0,97	1,4
Pp1s100_92V6__1	1352	1120	977	1149,67	109,26	962	1001	988	983,67	11,46	-1,17	-0,99	-1,35
Pp1s100_96V6__1	4989	4199	5946	5044,67	505,08	5165	5914	4927	5335,33	297,38	1,06	0,88	1,29
Pp1s100_99V6__1	5529	5011	6268	5602,67	364,73	6943	7951	6502	7132	428,83	1,27	1,1	1,47
Pp1s100_9V6__1	1955	1796	2792	2181	308,93	1598	1706	1888	1730,67	84,62	-1,26	-0,96	-1,58
Pp1s1011_3V6__1	854	650	555	686,33	88,2	799	703	629	710,33	49,21	1,03	0,82	1,34
Pp1s1011_6V6__1	797	677	670	714,67	41,22	732	718	644	698	27,3	-1,02	-0,91	-1,15
Pp1s10125_1V6__1	37	60	95	64	16,86	75	56	60	63,67	5,78	-1,01	-0,56	-1,49
Pp1s10155_1V6__1	40	55	145	80	32,79	63	68	62	64,33	1,86	-1,24	-0,41	-2,09
Pp1s10196_1V6__1	69	63	59	63,67	2,91	91	62	52	68,33	11,7	1,07	0,77	1,39
Pp1s10198_1V6__1	60	53	50	54,33	2,96	25	23	34	27,33	3,38	-1,99	-1,61	-2,53
Pp1s101_101V6__1	546	380	437	454,33	48,7	367	617	762	582	115,36	1,28	0,84	1,81
Pp1s101_102V6__1	171	98	91	120	25,58	56	142	90	96	25,01	-1,25	-0,72	-2,35
Pp1s101_103V6__1	1336	1688	1575	1533	103,76	2011	2180	2144	2111,67	51,39	1,38	1,23	1,56
Pp1s101_105V6__1	496	953	978	809	156,67	1303	1085	1208	1198,67	63,1	1,48	1,11	2,19
Pp1s101_108V6__1	2978	2834	2860	2890,67	44,31	2951	3276	2892	3039,67	119,39	1,05	0,98	1,13
Pp1s101_10V6__1	30737	29976	28666	29793	604,81	30222	27039	28260	28507	927,12	-1,05	-0,98	-1,11
Pp1s101_111V6__1	140	232	141	171	30,5	214	224	222	220	3,06	1,29	0,99	1,82
Pp1s101_116V6__1	4873	4430	6499	5267,33	628,97	6420	6469	5528	6139	305,83	1,17	0,95	1,47
Pp1s101_117V6__1	226	149	70	148,33	45,03	181	197	109	162,33	27,06	1,09	0,65	2,26
Pp1s101_118V6__1	1673	1867	1790	1776,67	56,4	1748	2125	2025	1966	112,76	1,11	0,99	1,23
Pp1s101_119V6__1	117	228	252	199	41,58	198	291	140	209,67	43,98	1,05	0,63	1,76
Pp1s101_120V6__1	7240	7219	7087	7182	47,89	8363	8139	7681	8061	200,7	1,12	1,07	1,17
Pp1s101_121V6__1	64	122	94	93,33	16,75	91	166	105	120,67	23,02	1,29	0,82	2,01
Pp1s101_123V6__1	54	52	64	56,67	3,71	49	134	57	80	27,1	1,41	0,62	2,23
Pp1s101_124V6__1	62	75	64	67	4,04	58	90	57	68,33	10,84	1,02	0,74	1,32
Pp1s101_125V6__1	446	285	270	333,67	56,33	273	254	222	249,67	14,88	-1,34	-0,95	-1,75
Pp1s101_131V6__1	58	37	91	62	15,72	71	40	78	63	11,68	1,02	0,61	1,85
Pp1s101_132V6__1	49	56	74	59,67	7,45	60	61	69	63,33	2,85	1,06	0,87	1,35
Pp1s101_133V6__1	62	498	486	348,67	143,38	236	140	262	212,67	37,1	-1,64	-0,52	-3,05
Pp1s101_134V6__1	1564	1544	1607	1571,67	18,59	2446	2058	2155	2219,67	116,58	1,41	1,29	1,54
Pp1s101_138V6__1	2671	1920	2156	2249	221,73	2974	2715	2290	2659,67	199,38	1,18	0,97	1,46
Pp1s101_141V6__1	1747	2569	1627	1981	296,03	2994	3212	2474	2893,33	218,91	1,46	1,13	1,98
Pp1s101_148V6__1	4364	3932	4119	4138,33	125,08	4610	4855	4564	4676,33	90,31	1,13	1,07	1,2
Pp1s101_149V6__1	1523	1456	1682	1553,67	67,02	1952	1661	2087	1900	125,69	1,22	1,07	1,39
Pp1s101_150V6__1	870	746	1569	1061,67	256,18	781	1339	859	993	174,46	-1,07	-0,61	-1,72
Pp1s101_151V6__1	5578	5860	5903	5780,33	101,93	5551	5402	6009	5654	182,64	-1,02	-0,96	-1,09
Pp1s101_152V6__1	15149	16389	18830	16789,33	1081,3	15577	15714	15877	15722,67	86,71	-1,07	-0,95	-1,18
Pp1s101_153V6__1	3685	3904	4244	3944,33	162,62	3987	4493	3625	4035	251,72	1,02	0,9	1,15
Pp1s101_158V6__1	3734	3756	4226	3905,33	160,46	4360	4700	5012	4690,67	188,27	1,2	1,09	1,32
Pp1s101_159V6__1	1704	2289	2473	2155,33	231,83	1920	1878	1854	1884	19,29	-1,14	-0,94	-1,35
Pp1s101_160V6__1	1925	2507	1631	2021	257,39	2652	2300	2408	2453,33	104,11	1,21	0,99	1,55
Pp1s101_161V6__1	782	803	903	829,33	37,33	917	656	899	824	84,16	-1,01	-0,85	-1,23
Pp1s101_162V6__1	5624	5115	4406	5048,33	353,18	5062	4198	4552	4604	250,77	-1,1	-0,94	-1,27
Pp1s101_163V6__1	45	42	42	43	1	41	34	31	35,33	2,96	-1,22	-1,06	-1,42
Pp1s101_166V6__1	2696	2743	2654	2697,67	25,71	3179	2468	2313	2653,33	266,61	-1,02	-0,87	-1,22
Pp1s101_168V6__1	3902	4704	4740	4448,67	273,53	4531	4765	4751	4682,33	75,77	1,05	0,95	1,17
Pp1s101_169V6__1	3881	4009	3764	3884,67	70,75	7507	7457	7803	7589	107,97	1,95	1,88	2,03
Pp1s101_16V6__1	37	61	42	46,67	7,31	43	33	33	36,33	3,33	-1,28	-0,93	-1,7
Pp1s101_170V6__1	12672	12834	13342	12949,33	201,83	12569	10991	12003	11854,33	461,55	-1,09	-1,02	-1,17
Pp1s101_171V6__1	4540	3557	3998	4031,67	284,27	7416	7878	6830	7374,67	303,24	1,83	1,61	2,1
Pp1s101_172V6__1	29	49	82	53,33	15,45	69	128	77	91,33	18,48	1,71	0,98	3,45
Pp1s101_173V6__1	108	275	155	179,33	49,72	488	366	409	421	35,73	2,35	1,56	4,36
Pp1s101_174V6__1	4706	4190	4620	4505,33	159,61	4667	4259	4367	4431	122,05	-1,02	-0,94	-1,09
Pp1s101_178V6__1	261	145	181	195,67	34,28	384	318	232	311,33	44,01	1,59	1,1	2,37
Pp1s101_17V6__1	7582	6222	10235	8013	1178,33	5069	5269	4216	4851,33	322,87	-1,65	-1,23	-2,11
Pp1s101_182V6__1	1533	1759	1957	1749,67	122,49	1896	1766	2234	1965,33	139,48	1,12	0,95	1,32
Pp1s101_183V6__1	4708	4867	4068	4547,67	244,19	3480	4005	3632	3705,67	155,97	-1,23	-1,09	-1,37
Pp1s101_184V6__1	9372	8295	10078	9248,33	518,41	10239	8642	10386	9755,67	558,45	1,05	0,92	1,2
Pp1s101_185V6__1	3471	4347	3910	3909,33	252,88	4385	4711	4439	4511,67	100,88	1,15	1,04	1,3
Pp1s101_187V6__1	59	43	52	51,33	4,63	98	94	68	86,67	9,4	1,69	1,33	2,12
Pp1s101_18V6__1	3878	5095	5471	4814,67	480,75	5029	4926	5618	5191	215,56	1,08	0,91	1,3
Pp1s101_190V6__1	417	221	186	274,67	71,88	395	664	304	454,33	108,07	1,65	0,9	3,16
Pp1s101_191V6__1	59	160	38	85,67	37,66	64	50	67	60,33	5,24	-1,42	-0,39	-2,51
Pp1s101_192V6__1	11757	9564	11415	10912	681,19	10998	11287	11355	11213,33	109,44	1,03	0,93	1,15
Pp1s101_193V6__1	128	229	268	208,33	41,71	241	163	171	191,67	24,77	-1,09	-0,7	-1,58
Pp1s101_195V6__1	29	36	29	31,33	2,33	25	27	24	25,33	0,88	-1,24	-1,07	-1,41
Pp1s101_196V6__1	1651	2177	1760	1862,67	160,29	1281	1148	1020	1149,67	75,35	-1,62	-1,35	-1,93
Pp1s101_199V6__1	115	139	109	121	9,17	283	110	49	147,33	70,08	1,22	0,26	2,21
Pp1s101_19V6__1	98	138	664	300	182,37	90	173	165	142,67	26,43	-2,1	0	-4,64
Pp1s101_1V6__1	11704	12251	12569	12174,67	252,6	14456	12232	13756	13481,33	656,54	1,11	1,01	1,21
Pp1s101_201V6__1	3348	4147	4338	3944,33	303,22	4915	5140	5855	5303,33	283,38	1,34	1,16	1,58
Pp1s101_203V6__1	2431	2590	2232	2417,67	103,56	1980	1716	2339	2011,67	180,54	-1,2	-1,03	-1,43
Pp1s101_204V6__1	36	41	98	58,33	19,89	53	51	54	52,67	0,88	-1,11	-0,49	-1,73
Pp1s101_206V6__1	47	32	49	42,67	5,36	40	40	53	44,33	4,33	1,04	0,8	1,37
Pp1s101_208V6__1	23848	24072	23786	23902	86,86	24538	23718	25116	24457,33	405,58	1,02	0,99	1,05
Pp1s101_210V6__1	2442	2766	2231	2479,67	155,59	2807	1948	2318	2357,67	248,76	-1,05	-0,87	-1,3
Pp1s101_214V6__1	109	163	114	128,67	17,23	85	110	56	83,67	15,6	-1,54	-1,07	-2,33
Pp1s101_215V6__1	2182	2112	2545	2279,67	134,2	2331	2303	2271	2301,67	17,33	1,01	0,92	1,12
Pp1s101_216V6__1	221	113	220	184,67	35,83	114	332	52	166	84,91	-1,11	-0,54	-7,08
Pp1s101_218V6__1	163	191	165	173	9,02	167	134	142	147,67	9,94	-1,17	-1,02	-1,35
Pp1s101_219V6__1	1356	1023	1133	1170,67	97,96	1094	1025	1364	1161	103,44	-1,01	-0,82	-1,24
Pp1s101_221V6__1	41	34	43	39,33	2,73	42	43	41	42	0,58	1,07	0,96	1,21
Pp1s101_223V6__1	115	90	93	99,33	7,88	101	153	154	136	17,5	1,37	1,05	1,74
Pp1s101_224V6__1	3170	2943	2761	2958	118,31	2549	2539	2699	2595,67	51,75	-1,14	-1,06	-1,22
Pp1s101_225V6__1	5644	6880	5784	6102,67	390,76	6151	5899	7218	6422,67	404,27	1,05	0,91	1,22
Pp1s101_226V6__1	32242	27236	29949	29809	1446,8	29478	28423	27018	28306,33	712,53	-1,05	-0,96	-1,15
Pp1s101_227V6__1	2965	2084	2513	2520,67	254,35	2296	1923	1893	2037,33	129,62	-1,24	-1,01	-1,5
Pp1s101_229V6__1	5072	5125	4907	5034,67	65,64	4758	4952	4841	4850,33	56,2	-1,04	-1,01	-1,07
Pp1s101_22V6__1	87	153	84	108	22,52	71	48	53	57,33	6,98	-1,88	-1,19	-2,73
Pp1s101_237V6__1	32	46	48	42	5,03	26	33	41	33,33	4,33	-1,26	-0,94	-1,7
Pp1s101_238V6__1	473	444	308	408,33	50,86	580	303	506	463	82,8	1,13	0,77	1,6
Pp1s101_239V6__1	3772	3723	3523	3672,67	76,16	3042	2932	3143	3039	60,93	-1,21	-1,15	-1,27
Pp1s101_240V6__1	9821	11187	10259	10422,33	402,7	6827	5462	6658	6315,67	429,61	-1,65	-1,46	-1,89
Pp1s101_241V6__1	5690	4933	5496	5373	227,02	3943	4236	4029	4069,33	86,95	-1,32	-1,22	-1,42
Pp1s101_244V6__1	2199	1995	1706	1966,67	143,02	1466	1308	1544	1439,33	69,42	-1,37	-1,18	-1,57
Pp1s101_245V6__1	23346	20347	21188	21627	893,13	20326	18921	20047	19764,67	429,45	-1,09	-1,01	-1,18
Pp1s101_246V6__1	223	147	178	182,67	22,06	403	212	91	235,33	90,82	1,29	0,47	2,22
Pp1s101_248V6__1	1499	802	1193	1164,67	201,7	1372	1828	1738	1646	139,44	1,41	1,05	2,02
Pp1s101_24V6__1	24935	22515	23468	23639,33	703,83	17246	16523	14268	16012,33	896,79	-1,48	-1,33	-1,64
Pp1s101_254V6__1	6940	9256	7844	8013,33	673,91	7587	8150	7703	7813,33	171,63	-1,03	-0,88	-1,17
Pp1s101_26V6__1	4706	5176	4470	4784	207,5	4005	4482	4469	4318,67	156,88	-1,11	-1,01	-1,22
Pp1s101_28V6__1	1160	957	1178	1098,33	70,86	985	892	1061	979,33	48,87	-1,12	-0,98	-1,28
Pp1s101_29V6__1	836	1061	1269	1055,33	125,03	1102	849	1080	1010,33	80,92	-1,04	-0,81	-1,31
Pp1s101_2V6__1	32804	33381	33087	33090,67	166,58	35647	34373	35504	35174,67	402,95	1,06	1,04	1,08
Pp1s101_33V6__1	11196	11809	11167	11390,67	209,33	12773	13222	11549	12514,67	499,93	1,1	1,02	1,18
Pp1s101_34V6__1	33	38	58	43	7,64	49	47	46	47,33	0,88	1,1	0,85	1,56
Pp1s101_35V6__1	74	73	62	69,67	3,84	41	81	49	57	12,22	-1,22	-0,89	-1,9
Pp1s101_41V6__1	80	75	56	70,33	7,31	57	33	38	42,67	7,31	-1,65	-1,21	-2,37
Pp1s101_42V6__1	63	76	52	63,67	6,94	43	89	76	69,33	13,69	1,09	0,71	1,54
Pp1s101_43V6__1	43	46	54	47,67	3,28	56	57	39	50,67	5,84	1,06	0,84	1,31
Pp1s101_44V2__1	186	143	215	181,33	20,92	155	139	151	148,33	4,81	-1,22	-0,98	-1,47
Pp1s101_44V6__1	1348	1054	1607	1336,33	159,74	961	1022	892	958,33	37,55	-1,39	-1,11	-1,69
Pp1s101_45V6__1	148	54	80	94	28,02	66	108	57	77	15,72	-1,22	-0,59	-2,16
Pp1s101_49V6__1	251	179	199	209,67	21,46	157	208	149	171,33	18,48	-1,22	-0,96	-1,57
Pp1s101_4V6__1	4555	3967	4323	4281,67	170,99	4003	4218	5056	4425,67	321,22	1,03	0,9	1,18
Pp1s101_50V6__1	10300	11936	7746	9994	1219,19	8160	10440	11176	9925,33	907,88	-1,01	-0,77	-1,29
Pp1s101_52V6__1	982	648	657	762,33	109,86	267	306	302	291,67	12,39	-2,61	-1,98	-3,27
Pp1s101_55V2__1	2603	2579	2474	2552	39,61	2625	3522	2809	2985,33	273,54	1,17	0,99	1,35
Pp1s101_55V6__1	1978	1714	1768	1820	80,52	2377	3042	2446	2621,67	211,11	1,44	1,23	1,67
Pp1s101_56V6__1	2287	3009	3293	2863	299,44	3477	5102	3776	4118,33	499,35	1,44	1,1	1,87
Pp1s101_57V6__1	243	233	371	282,33	44,43	428	316	608	450,67	85,05	1,6	1,03	2,39
Pp1s101_58V6__1	95	409	216	240	91,43	218	497	364	359,67	80,57	1,5	0,77	4,17
Pp1s101_60V6__1	33	60	58	50,33	8,69	289	138	137	188	50,5	3,74	1,99	6,13
Pp1s101_62V6__1	2084	2439	1393	1972	307,1	1953	1955	2028	1978,67	24,67	1	0,8	1,35
Pp1s101_63V2__1	2110	2154	1875	2046,33	86,6	2753	1848	2447	2349,33	265,78	1,15	0,92	1,38
