"Genes"	"pvalue"	"foldchange"
"1"	"Pp1s100_220V6"	0.00849069637398673	-1.03326508250342
"2"	"Pp1s100_48V6"	0.025676073349945	-0.915484926490645
"3"	"Pp1s101_169V6"	3.14371097004416e-05	-0.966307748614868
"4"	"Pp1s101_171V6"	0.00132009921251003	-0.875908165144091
"5"	"Pp1s101_173V6"	0.0203032839226308	-1.32936483097965
"6"	"Pp1s101_187V6"	0.0452703306618491	-0.749138004946052
"7"	"Pp1s102_180V6"	0.0333412894940828	-0.845044743050861
"8"	"Pp1s103_135V6"	0.0141542712002159	-2.29637948747603
"9"	"Pp1s104_70V6"	0.0475197583077459	-0.84220502639586
"10"	"Pp1s104_80V6"	0.044261404332311	-0.596169574070256
"11"	"Pp1s105_99V6"	0.0162690895386687	-0.760892842117945
"12"	"Pp1s1060_1V6"	0.0455893462463096	-0.784172138240262
"13"	"Pp1s106_2V6"	0.0165612876482914	-1.4030681170241
"14"	"Pp1s106_48V6"	0.0043254385638712	-0.591758861664822
"15"	"Pp1s106_72V6"	0.000866504071661603	-0.826609753863494
"16"	"Pp1s106_83V6"	0.00432802497747871	-0.760788121178525
"17"	"Pp1s106_95V2"	0.0112323721747292	-2.01230903884906
"18"	"Pp1s106_95V6"	0.00818901981785409	-2.1240285948774
"19"	"Pp1s107_193V6"	0.0286914869852869	-0.781377831533228
"20"	"Pp1s107_32V6"	0.00123679354194962	-2.09091433862044
"21"	"Pp1s107_86V6"	0.0191298132752385	-1.76826855671179
"22"	"Pp1s108_76V6"	0.0211560060604425	-1.09202273333141
"23"	"Pp1s109_188V6"	0.0321608424394222	-0.71824964862048
"24"	"Pp1s109_194V6"	0.0153626703857915	-0.640952514821118
"25"	"Pp1s109_40V6"	0.00235638101210366	-1.94363305383661
"26"	"Pp1s10_144V6"	0.0295464678154744	-0.669123282495219
"27"	"Pp1s10_348V6"	0.0106855743093867	-0.634331113289345
"28"	"Pp1s10_390V6"	0.00180822199481825	-0.697552705572235
"29"	"Pp1s10_70V6"	0.00102491852837336	-1.55856273468427
"30"	"Pp1s10_90V6"	0.0135764812064565	-0.757361207630641
"31"	"Pp1s110_78V6"	0.00202555706688296	-1.37455263021201
"32"	"Pp1s110_89V6"	0.0418764306118617	-0.882499843234805
"33"	"Pp1s111_132V6"	0.0492431251603579	-0.661334935848418
"34"	"Pp1s111_155V6"	0.0445617011020216	-2.05084437477055
"35"	"Pp1s111_87V2"	0.0112305441132224	-1.44126852334033
"36"	"Pp1s111_88V6"	0.0026886785686446	-3.33866819529863
"37"	"Pp1s111_8V6"	0.044262654126109	-0.645380786171634
"38"	"Pp1s11232_1V6"	0.0235696124080826	-0.841054621542416
"39"	"Pp1s113_196V6"	0.0162295227226808	-1.19329443683694
"40"	"Pp1s113_219V6"	0.0381166409084856	-1.001250894721
"41"	"Pp1s114_133V6"	0.0181618834517878	-1.21854342201745
"42"	"Pp1s114_154V6"	0.0206058658139417	-0.965334892752796
"43"	"Pp1s114_47V6"	0.0356404812257238	-1.03797233140791
"44"	"Pp1s114_5V6"	0.0304643155751568	-0.668780764106138
"45"	"Pp1s114_67V6"	0.0167925503086485	-0.876225921332434
"46"	"Pp1s114_7V6"	0.0324798998172636	-0.727007108258707
"47"	"Pp1s114_85V6"	8.45375001359582e-05	-2.35998124406923
