"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"144"	"AT1G01710"	"GO:0047617"
"145"	"AT1G01720"	"GO:0003700"
"146"	"AT1G01725"	"GO:0003674"
"147"	"AT1G01730"	"GO:0003674"
"148"	"AT1G01740"	"GO:0016301"
"149"	"AT1G01760"	"GO:0003723"
"150"	"AT1G01760"	"GO:0004000"
"151"	"AT1G01760"	"GO:0004000"
"152"	"AT1G01780"	"GO:0051015"
"153"	"AT1G01780"	"GO:0051015"
"154"	"AT1G01790"	"GO:0015079"
"155"	"AT1G01790"	"GO:0015386"
"156"	"AT1G01800"	"GO:0016491"
"157"	"AT1G01810"	"GO:0003674"
"158"	"AT1G01820"	"GO:0003674"
"159"	"AT1G01820"	"GO:0005515"
"160"	"AT1G01820"	"GO:0005515"
"161"	"AT1G01820"	"GO:0042802"
"162"	"AT1G01840"	"GO:0003674"
"163"	"AT1G01860"	"GO:0016422"
"164"	"AT1G01880"	"GO:0004518"
"165"	"AT1G01900"	"GO:0004252"
"166"	"AT1G01910"	"GO:0005515"
"167"	"AT1G01910"	"GO:0005524"
"168"	"AT1G01910"	"GO:0005524"
"169"	"AT1G01920"	"GO:0003674"
"170"	"AT1G01940"	"GO:0003755"
"171"	"AT1G01950"	"GO:0003777"
"172"	"AT1G01960"	"GO:0005085"
"173"	"AT1G01960"	"GO:0005086"
"174"	"AT1G01970"	"GO:0003674"
"175"	"AT1G01980"	"GO:0009055"
"176"	"AT1G01990"	"GO:0003674"
"177"	"AT1G02000"	"GO:0003824"
"178"	"AT1G02000"	"GO:0050378"
"179"	"AT1G02010"	"GO:0008565"
"180"	"AT1G02020"	"GO:0016657"
"181"	"AT1G02030"	"GO:0003676"
"182"	"AT1G02030"	"GO:0003700"
"183"	"AT1G02030"	"GO:0008270"
"184"	"AT1G02040"	"GO:0003676"
"185"	"AT1G02040"	"GO:0003700"
"186"	"AT1G02040"	"GO:0008270"
"187"	"AT1G02050"	"GO:0090439"
"188"	"AT1G02065"	"GO:0003677"
"189"	"AT1G02065"	"GO:0003677"
"190"	"AT1G02074"	"GO:0003674"
"191"	"AT1G02090"	"GO:0004708"
"192"	"AT1G02090"	"GO:0004708"
"193"	"AT1G02090"	"GO:0005515"
"194"	"AT1G02090"	"GO:0005515"
"195"	"AT1G02090"	"GO:0005515"
"196"	"AT1G02090"	"GO:0005515"
"197"	"AT1G02100"	"GO:0008168"
"198"	"AT1G02110"	"GO:0003674"
"199"	"AT1G02130"	"GO:0005525"
"200"	"AT1G02130"	"GO:0005525"
"201"	"AT1G02140"	"GO:0005515"
"202"	"AT1G02140"	"GO:0005515"
"203"	"AT1G02145"	"GO:0000009"
"204"	"AT1G02160"	"GO:0003674"
"205"	"AT1G02170"	"GO:0004197"
"206"	"AT1G02170"	"GO:0005515"
"207"	"AT1G02180"	"GO:0003674"
"208"	"AT1G02190"	"GO:0003824"
"209"	"AT1G02205"	"GO:0071771"
"210"	"AT1G02220"	"GO:0003700"
"211"	"AT1G02230"	"GO:0003700"
"212"	"AT1G02250"	"GO:0003700"
"213"	"AT1G02260"	"GO:0005215"
"214"	"AT1G02270"	"GO:0003824"
"215"	"AT1G02270"	"GO:0005509"
"216"	"AT1G02280"	"GO:0003924"
"217"	"AT1G02280"	"GO:0005515"
"218"	"AT1G02280"	"GO:0005515"
"219"	"AT1G02280"	"GO:0005515"
"220"	"AT1G02280"	"GO:0005525"
"221"	"AT1G02280"	"GO:0005525"
"222"	"AT1G02280"	"GO:0005525"
"223"	"AT1G02280"	"GO:0005525"
"224"	"AT1G02280"	"GO:0042802"
"225"	"AT1G02280"	"GO:0042803"
"226"	"AT1G02290"	"GO:0003674"
"227"	"AT1G02300"	"GO:0008234"
"228"	"AT1G02305"	"GO:0008234"
"229"	"AT1G02310"	"GO:0004553"
"230"	"AT1G02320"	"GO:0003674"
"231"	"AT1G02330"	"GO:0003674"
"232"	"AT1G02340"	"GO:0003677"
"233"	"AT1G02340"	"GO:0003700"
"234"	"AT1G02340"	"GO:0003700"
"235"	"AT1G02340"	"GO:0003712"
"236"	"AT1G02340"	"GO:0005515"
"237"	"AT1G02340"	"GO:0005515"
"238"	"AT1G02340"	"GO:0005515"
"239"	"AT1G02340"	"GO:0005515"
"240"	"AT1G02340"	"GO:0005515"
"241"	"AT1G02340"	"GO:0005515"
"242"	"AT1G02340"	"GO:0005515"
"243"	"AT1G02340"	"GO:0005515"
"244"	"AT1G02350"	"GO:0003674"
"245"	"AT1G02360"	"GO:0004568"
"246"	"AT1G02370"	"GO:0003674"
"247"	"AT1G02380"	"GO:0003674"
"248"	"AT1G02390"	"GO:0016746"
"249"	"AT1G02391"	"GO:0003674"
"250"	"AT1G02400"	"GO:0052634"
"251"	"AT1G02405"	"GO:0003674"
"252"	"AT1G02420"	"GO:0003674"
"253"	"AT1G02430"	"GO:0005525"
"254"	"AT1G02430"	"GO:0005525"
"255"	"AT1G02440"	"GO:0005525"
"256"	"AT1G02440"	"GO:0005525"
"257"	"AT1G02450"	"GO:0005515"
"258"	"AT1G02450"	"GO:0005515"
"259"	"AT1G02450"	"GO:0005515"
"260"	"AT1G02460"	"GO:0004650"
"261"	"AT1G02470"	"GO:0003674"
"262"	"AT1G02475"	"GO:0003674"
"263"	"AT1G02490"	"GO:0003674"
"264"	"AT1G02500"	"GO:0004478"
"265"	"AT1G02500"	"GO:0004478"
"266"	"AT1G02510"	"GO:0015271"
"267"	"AT1G02510"	"GO:0015271"
"268"	"AT1G02520"	"GO:0042626"
"269"	"AT1G02520"	"GO:0042626"
"270"	"AT1G02530"	"GO:0042626"
"271"	"AT1G02530"	"GO:0042626"
"272"	"AT1G02540"	"GO:0003674"
"273"	"AT1G02550"	"GO:0046910"
"274"	"AT1G02570"	"GO:0003674"
"275"	"AT1G02575"	"GO:0003674"
"276"	"AT1G02580"	"GO:0003700"
"277"	"AT1G02580"	"GO:0005515"
"278"	"AT1G02580"	"GO:0005515"
"279"	"AT1G02580"	"GO:0005515"
"280"	"AT1G02580"	"GO:0005515"
"281"	"AT1G02580"	"GO:0005515"
"282"	"AT1G02580"	"GO:0005515"
"283"	"AT1G02580"	"GO:0005515"
"284"	"AT1G02580"	"GO:0005515"
"285"	"AT1G02580"	"GO:0043565"
"286"	"AT1G02590"	"GO:0004031"
"287"	"AT1G02610"	"GO:0008270"
"288"	"AT1G02630"	"GO:0005337"
"289"	"AT1G02640"	"GO:0004553"
"290"	"AT1G02660"	"GO:0004806"
"291"	"AT1G02670"	"GO:0003677"
"292"	"AT1G02670"	"GO:0004386"
"293"	"AT1G02670"	"GO:0005524"
"294"	"AT1G02670"	"GO:0005524"
"295"	"AT1G02690"	"GO:0008565"
"296"	"AT1G02700"	"GO:0003674"
"297"	"AT1G02710"	"GO:0003674"
"298"	"AT1G02720"	"GO:0016757"
"299"	"AT1G02720"	"GO:0016758"
"300"	"AT1G02720"	"GO:0047262"
"301"	"AT1G02730"	"GO:0046527"
"302"	"AT1G02730"	"GO:0051753"
"303"	"AT1G02770"	"GO:0003674"
"304"	"AT1G02780"	"GO:0003735"
"305"	"AT1G02790"	"GO:0004650"
"306"	"AT1G02790"	"GO:0004650"
"307"	"AT1G02800"	"GO:0004553"
"308"	"AT1G02800"	"GO:0008810"
"309"	"AT1G02810"	"GO:0030599"
"310"	"AT1G02816"	"GO:0003674"
"311"	"AT1G02820"	"GO:0003674"
"312"	"AT1G02840"	"GO:0003723"
"313"	"AT1G02840"	"GO:0005515"
"314"	"AT1G02850"	"GO:0004553"
"315"	"AT1G02860"	"GO:0004842"
"316"	"AT1G02860"	"GO:0004842"
"317"	"AT1G02860"	"GO:0005515"
"318"	"AT1G02860"	"GO:0005515"
"319"	"AT1G02870"	"GO:0003674"
"320"	"AT1G02880"	"GO:0004788"
"321"	"AT1G02880"	"GO:0004788"
"322"	"AT1G02890"	"GO:0016887"
"323"	"AT1G02900"	"GO:0004871"
"324"	"AT1G02920"	"GO:0004364"
"325"	"AT1G02920"	"GO:0005507"
"326"	"AT1G02920"	"GO:0043295"
"327"	"AT1G02920"	"GO:0050897"
"328"	"AT1G02930"	"GO:0004364"
"329"	"AT1G02930"	"GO:0004364"
"330"	"AT1G02930"	"GO:0005507"
"331"	"AT1G02930"	"GO:0043295"
"332"	"AT1G02930"	"GO:0050897"
"333"	"AT1G02930"	"GO:2001147"
"334"	"AT1G02930"	"GO:2001227"
"335"	"AT1G02940"	"GO:0004364"
"336"	"AT1G02950"	"GO:0004364"
"337"	"AT1G02965"	"GO:0003674"
"338"	"AT1G02970"	"GO:0004672"
"339"	"AT1G02970"	"GO:0004672"
"340"	"AT1G02970"	"GO:0005515"
"341"	"AT1G02970"	"GO:0005515"
"342"	"AT1G02970"	"GO:0005515"
"343"	"AT1G02970"	"GO:0005515"
"344"	"AT1G02970"	"GO:0005515"
"345"	"AT1G02970"	"GO:0005515"
"346"	"AT1G02970"	"GO:0016301"
"347"	"AT1G02980"	"GO:0005515"
"348"	"AT1G02980"	"GO:0005515"
"349"	"AT1G02990"	"GO:0003674"
"350"	"AT1G03000"	"GO:0005515"
"351"	"AT1G03000"	"GO:0016887"
"352"	"AT1G03010"	"GO:0004871"
"353"	"AT1G03020"	"GO:0008794"
"354"	"AT1G03022"	"GO:0003674"
"355"	"AT1G03030"	"GO:0005524"
"356"	"AT1G03030"	"GO:0005524"
"357"	"AT1G03030"	"GO:0016301"
"358"	"AT1G03040"	"GO:0003677"
"359"	"AT1G03040"	"GO:0003700"
"360"	"AT1G03040"	"GO:0003700"
"361"	"AT1G03070"	"GO:0016595"
"362"	"AT1G03090"	"GO:0004485"
"363"	"AT1G03090"	"GO:0050897"
"364"	"AT1G03100"	"GO:0003674"
"365"	"AT1G03103"	"GO:0003674"
"366"	"AT1G03106"	"GO:0003674"
"367"	"AT1G03106"	"GO:0003674"
"368"	"AT1G03110"	"GO:0000166"
"369"	"AT1G03130"	"GO:0003674"
"370"	"AT1G03150"	"GO:0008080"
"371"	"AT1G03170"	"GO:0003674"
"372"	"AT1G03180"	"GO:0003674"
"373"	"AT1G03190"	"GO:0005515"
"374"	"AT1G03190"	"GO:0005515"
"375"	"AT1G03190"	"GO:0005515"
"376"	"AT1G03190"	"GO:0005515"
"377"	"AT1G03190"	"GO:0005515"
"378"	"AT1G03190"	"GO:0005515"
"379"	"AT1G03190"	"GO:0005515"
"380"	"AT1G03190"	"GO:0005515"
"381"	"AT1G03200"	"GO:0003674"
"382"	"AT1G03210"	"GO:0003824"
"383"	"AT1G03240"	"GO:0003674"
"384"	"AT1G03270"	"GO:0003674"
"385"	"AT1G03290"	"GO:0003674"
"386"	"AT1G03310"	"GO:0004556"
"387"	"AT1G03310"	"GO:0019156"
"388"	"AT1G03310"	"GO:0019156"
"389"	"AT1G03310"	"GO:0019156"
"390"	"AT1G03310"	"GO:0019156"
"391"	"AT1G03320"	"GO:0003674"
"392"	"AT1G03340"	"GO:0003674"
"393"	"AT1G03350"	"GO:0003674"
"394"	"AT1G03360"	"GO:0004527"
"395"	"AT1G03380"	"GO:0003674"
"396"	"AT1G03380"	"GO:0003674"
"397"	"AT1G03390"	"GO:0016740"
"398"	"AT1G03400"	"GO:0009815"
"399"	"AT1G03430"	"GO:0009927"
"400"	"AT1G03430"	"GO:0009927"
"401"	"AT1G03430"	"GO:0009927"
"402"	"AT1G03430"	"GO:0009927"
"403"	"AT1G03430"	"GO:0043424"
"404"	"AT1G03430"	"GO:0043424"
"405"	"AT1G03430"	"GO:0043424"
"406"	"AT1G03445"	"GO:0004722"
"407"	"AT1G03445"	"GO:0004722"
"408"	"AT1G03445"	"GO:0005515"
"409"	"AT1G03457"	"GO:0003723"
"410"	"AT1G03475"	"GO:0004109"
"411"	"AT1G03475"	"GO:0004109"
"412"	"AT1G03490"	"GO:0003700"
"413"	"AT1G03495"	"GO:0016740"
"414"	"AT1G03520"	"GO:0008375"
"415"	"AT1G03520"	"GO:0016757"
"416"	"AT1G03550"	"GO:0022857"
"417"	"AT1G03590"	"GO:0004722"
"418"	"AT1G03600"	"GO:0003674"
"419"	"AT1G03610"	"GO:0003674"
"420"	"AT1G03620"	"GO:0003674"
"421"	"AT1G03630"	"GO:0003959"
"422"	"AT1G03630"	"GO:0016491"
"423"	"AT1G03630"	"GO:0016630"
"424"	"AT1G03650"	"GO:0008080"
"425"	"AT1G03660"	"GO:0003674"
"426"	"AT1G03670"	"GO:0003674"
"427"	"AT1G03680"	"GO:0004857"
"428"	"AT1G03680"	"GO:0008047"
"429"	"AT1G03680"	"GO:0008047"
"430"	"AT1G03687"	"GO:0003674"
"431"	"AT1G03730"	"GO:0003674"
"432"	"AT1G03740"	"GO:0016301"
"433"	"AT1G03750"	"GO:0004386"
"434"	"AT1G03770"	"GO:0008270"
"435"	"AT1G03780"	"GO:0008017"
"436"	"AT1G03780"	"GO:0008017"
"437"	"AT1G03790"	"GO:0003676"
"438"	"AT1G03790"	"GO:0003700"
"439"	"AT1G03800"	"GO:0003677"
"440"	"AT1G03800"	"GO:0003700"
"441"	"AT1G03800"	"GO:0003700"
"442"	"AT1G03800"	"GO:0003700"
"443"	"AT1G03810"	"GO:0003674"
"444"	"AT1G03820"	"GO:0003674"
"445"	"AT1G03830"	"GO:0003924"
"446"	"AT1G03830"	"GO:0005525"
"447"	"AT1G03830"	"GO:0005525"
"448"	"AT1G03840"	"GO:0003676"
"449"	"AT1G03840"	"GO:0003700"
"450"	"AT1G03840"	"GO:0005515"
"451"	"AT1G03840"	"GO:0005515"
"452"	"AT1G03840"	"GO:0005515"
"453"	"AT1G03840"	"GO:0005515"
"454"	"AT1G03840"	"GO:0005515"
"455"	"AT1G03840"	"GO:0008270"
"456"	"AT1G03880"	"GO:0045735"
"457"	"AT1G03880"	"GO:0045735"
"458"	"AT1G03890"	"GO:0045735"
"459"	"AT1G03890"	"GO:0045735"
"460"	"AT1G03900"	"GO:0005215"
"461"	"AT1G03900"	"GO:0042626"
"462"	"AT1G03900"	"GO:0042626"
"463"	"AT1G03920"	"GO:0016301"
"464"	"AT1G03920"	"GO:0016301"
"465"	"AT1G03930"	"GO:0004712"
"466"	"AT1G03930"	"GO:0004712"
"467"	"AT1G03930"	"GO:0016301"
"468"	"AT1G03940"	"GO:0016740"
"469"	"AT1G03960"	"GO:0005509"
"470"	"AT1G03970"	"GO:0003677"
"471"	"AT1G03970"	"GO:0003700"
"472"	"AT1G03970"	"GO:0003700"
"473"	"AT1G03970"	"GO:0003700"
"474"	"AT1G03970"	"GO:0043565"
"475"	"AT1G03980"	"GO:0016756"
"476"	"AT1G03980"	"GO:0016756"
"477"	"AT1G03982"	"GO:0003674"
"478"	"AT1G03990"	"GO:0016491"
"479"	"AT1G03990"	"GO:0046577"
"480"	"AT1G04000"	"GO:0003674"
"481"	"AT1G04010"	"GO:0004607"
"482"	"AT1G04010"	"GO:0004607"
"483"	"AT1G04010"	"GO:0080095"
"484"	"AT1G04010"	"GO:0080096"
"485"	"AT1G04020"	"GO:0003677"
"486"	"AT1G04020"	"GO:0003713"
"487"	"AT1G04030"	"GO:0003674"
"488"	"AT1G04040"	"GO:0003993"
"489"	"AT1G04070"	"GO:0015450"
"490"	"AT1G04090"	"GO:0003674"
"491"	"AT1G04100"	"GO:0003700"
"492"	"AT1G04110"	"GO:0004252"
"493"	"AT1G04110"	"GO:0004252"
"494"	"AT1G04120"	"GO:0008281"
"495"	"AT1G04120"	"GO:0042626"
"496"	"AT1G04120"	"GO:0042626"
"497"	"AT1G04130"	"GO:0051879"
"498"	"AT1G04140"	"GO:0000166"
"499"	"AT1G04160"	"GO:0003774"
"500"	"AT1G04170"	"GO:0003743"
"501"	"AT1G04170"	"GO:0008135"
"502"	"AT1G04171"	"GO:0003674"
"503"	"AT1G04180"	"GO:0004497"
"504"	"AT1G04200"	"GO:0003674"
"505"	"AT1G04210"	"GO:0004672"
"506"	"AT1G04210"	"GO:0004672"
"507"	"AT1G04220"	"GO:0009922"
"508"	"AT1G04230"	"GO:0003674"
"509"	"AT1G04240"	"GO:0003700"
"510"	"AT1G04240"	"GO:0005515"
"511"	"AT1G04240"	"GO:0005515"
"512"	"AT1G04240"	"GO:0005515"
"513"	"AT1G04250"	"GO:0003700"
"514"	"AT1G04250"	"GO:0003700"
"515"	"AT1G04250"	"GO:0005515"
"516"	"AT1G04250"	"GO:0042802"
"517"	"AT1G04260"	"GO:0005515"
"518"	"AT1G04270"	"GO:0003735"
"519"	"AT1G04290"	"GO:0016788"
"520"	"AT1G04290"	"GO:0047617"
"521"	"AT1G04310"	"GO:0004673"
"522"	"AT1G04310"	"GO:0004673"
"523"	"AT1G04310"	"GO:0004674"
"524"	"AT1G04310"	"GO:0004674"
"525"	"AT1G04310"	"GO:0005515"
"526"	"AT1G04310"	"GO:0051740"
"527"	"AT1G04330"	"GO:0003674"
"528"	"AT1G04340"	"GO:0003674"
"529"	"AT1G04350"	"GO:0016706"
"530"	"AT1G04360"	"GO:0008270"
"531"	"AT1G04370"	"GO:0003677"
"532"	"AT1G04370"	"GO:0003700"
"533"	"AT1G04370"	"GO:0003700"
"534"	"AT1G04370"	"GO:0003700"
"535"	"AT1G04380"	"GO:0016706"
"536"	"AT1G04400"	"GO:0005515"
"537"	"AT1G04400"	"GO:0005515"
"538"	"AT1G04400"	"GO:0005515"
"539"	"AT1G04400"	"GO:0005515"
"540"	"AT1G04400"	"GO:0009882"
"541"	"AT1G04400"	"GO:0042803"
"542"	"AT1G04410"	"GO:0016615"
"543"	"AT1G04420"	"GO:0004033"
"544"	"AT1G04440"	"GO:0016301"
"545"	"AT1G04445"	"GO:0003676"
"546"	"AT1G04445"	"GO:0008270"
"547"	"AT1G04450"	"GO:0005515"
"548"	"AT1G04470"	"GO:0003674"
"549"	"AT1G04480"	"GO:0003735"
"550"	"AT1G04490"	"GO:0003674"
"551"	"AT1G04500"	"GO:0003674"
"552"	"AT1G04501"	"GO:0003674"
"553"	"AT1G04510"	"GO:0000166"
"554"	"AT1G04520"	"GO:0003674"
"555"	"AT1G04550"	"GO:0003700"
"556"	"AT1G04550"	"GO:0005515"
"557"	"AT1G04550"	"GO:0005515"
"558"	"AT1G04550"	"GO:0005515"
"559"	"AT1G04555"	"GO:0003674"
"560"	"AT1G04560"	"GO:0003674"
"561"	"AT1G04570"	"GO:0005215"
"562"	"AT1G04580"	"GO:0004031"
"563"	"AT1G04580"	"GO:0018479"
"564"	"AT1G04580"	"GO:0018488"
"565"	"AT1G04590"	"GO:0003674"
"566"	"AT1G04600"	"GO:0003774"
"567"	"AT1G04600"	"GO:0003774"
"568"	"AT1G04600"	"GO:0003774"
"569"	"AT1G04620"	"GO:0050454"
"570"	"AT1G04620"	"GO:0090415"
"571"	"AT1G04630"	"GO:0003674"
"572"	"AT1G04635"	"GO:0004526"
"573"	"AT1G04640"	"GO:0017118"
"574"	"AT1G04640"	"GO:0033819"
"575"	"AT1G04645"	"GO:0003674"
"576"	"AT1G04660"	"GO:0003674"
"577"	"AT1G04670"	"GO:0003674"
"578"	"AT1G04680"	"GO:0016829"
"579"	"AT1G04680"	"GO:0030570"
"580"	"AT1G04684"	"GO:0003674"
"581"	"AT1G04690"	"GO:0005267"
"582"	"AT1G04700"	"GO:0004672"
"583"	"AT1G04700"	"GO:0004672"
"584"	"AT1G04700"	"GO:0004712"
"585"	"AT1G04700"	"GO:0004712"
"586"	"AT1G04710"	"GO:0003988"
"587"	"AT1G04730"	"GO:0016887"
"588"	"AT1G04778"	"GO:0003674"
"589"	"AT1G04780"	"GO:0003674"
"590"	"AT1G04790"	"GO:0008270"
"591"	"AT1G04800"	"GO:0003674"
"592"	"AT1G04820"	"GO:0005200"
"593"	"AT1G04840"	"GO:0003674"
"594"	"AT1G04860"	"GO:0004843"
"595"	"AT1G04860"	"GO:0004843"
"596"	"AT1G04870"	"GO:0008168"
"597"	"AT1G04870"	"GO:0008469"
"598"	"AT1G04870"	"GO:0016277"
"599"	"AT1G04870"	"GO:0035241"
"600"	"AT1G04870"	"GO:0035242"
"601"	"AT1G04880"	"GO:0003700"
"602"	"AT1G04890"	"GO:0003674"
"603"	"AT1G04900"	"GO:0003674"
"604"	"AT1G04910"	"GO:0016757"
"605"	"AT1G04920"	"GO:0016757"
"606"	"AT1G04940"	"GO:0005515"
"607"	"AT1G04940"	"GO:0005515"
"608"	"AT1G04940"	"GO:0005515"
"609"	"AT1G04940"	"GO:0008565"
"610"	"AT1G04945"	"GO:0003674"
"611"	"AT1G04960"	"GO:0003674"
"612"	"AT1G04970"	"GO:0008289"
"613"	"AT1G04980"	"GO:0003756"
"614"	"AT1G04985"	"GO:0003674"
"615"	"AT1G04990"	"GO:0003676"
"616"	"AT1G05000"	"GO:0004721"
"617"	"AT1G05000"	"GO:0016791"
"618"	"AT1G05010"	"GO:0009815"
"619"	"AT1G05020"	"GO:0005515"
"620"	"AT1G05030"	"GO:0005351"
"621"	"AT1G05030"	"GO:0015144"
"622"	"AT1G05030"	"GO:0015144"
"623"	"AT1G05040"	"GO:0003674"
"624"	"AT1G05060"	"GO:0003674"
"625"	"AT1G05065"	"GO:0005102"
"626"	"AT1G05070"	"GO:0003674"
"627"	"AT1G05080"	"GO:0003674"
"628"	"AT1G05085"	"GO:0003674"
"629"	"AT1G05085"	"GO:0003674"
"630"	"AT1G05090"	"GO:0003674"
"631"	"AT1G05100"	"GO:0016301"
"632"	"AT1G05120"	"GO:0003677"
